"","time","S","I","R"
"1",0,12209995,5,0
"2",0.01,12209994.9727454,5.00448680745535,0.0227678083240438
"3",0.02,12209994.9454663,5.00897764113396,0.0455560475819527
"4",0.03,12209994.9181628,5.01347250465265,0.0683647361277852
"5",0.04,12209994.8908347,5.01797140117527,0.0911938900167295
"6",0.05,12209994.8634821,5.02247433492327,0.114043530671208
"7",0.06,12209994.836105,5.02698130936876,0.136913675710714
"8",0.07,12209994.8087033,5.0314923281375,0.159804343534743
"9",0.08,12209994.7812771,5.03600739485857,0.182715552559371
"10",0.09,12209994.7538262,5.04052651316426,0.205647321217196
"11",0.1,12209994.7263506,5.04504968669016,0.228599667957357
"12",0.11,12209994.6988505,5.04957691907507,0.251572611245547
"13",0.12,12209994.6713256,5.05410821396092,0.274566169562994
"14",0.13,12209994.6437761,5.05864357499329,0.297580361409809
"15",0.14,12209994.6162018,5.06318300582081,0.320615205301326
"16",0.15,12209994.5886028,5.06772651009536,0.343670719769491
"17",0.16,12209994.560979,5.07227409147214,0.366746923362994
"18",0.17,12209994.5333304,5.07682575360959,0.38984383464717
"19",0.18,12209994.505657,5.08138150016948,0.412961472204013
"20",0.19,12209994.4779588,5.08594133481683,0.43609985463219
"21",0.2,12209994.4502357,5.09050526121997,0.459259000547059
"22",0.21,12209994.4224878,5.09507328305051,0.482438928580679
"23",0.22,12209994.3947149,5.09964540398336,0.505639657381831
"24",0.23,12209994.3669172,5.10422162769672,0.528861205616027
"25",0.24,12209994.3390944,5.1088019578721,0.552103591965531
"26",0.25,12209994.3112468,5.11338639819431,0.575366835129369
"27",0.26,12209994.2833741,5.11797495235146,0.598650953823346
"28",0.27,12209994.2554764,5.12256762403497,0.621955966780061
"29",0.28,12209994.2275537,5.1271644169396,0.645281892748923
"30",0.29,12209994.1996059,5.13176533476337,0.668628750496165
"31",0.3,12209994.1716331,5.13637038120767,0.691996558804859
"32",0.31,12209994.1436351,5.14097955997719,0.715385336474932
"33",0.32,12209994.115612,5.14559287477994,0.738795102323179
"34",0.33,12209994.0875638,5.15021032932726,0.762225875183281
"35",0.34,12209994.0594904,5.15483192733382,0.785677673905818
"36",0.35,12209994.0313918,5.15945767251763,0.809150517358287
"37",0.36,12209994.003268,5.16408756860004,0.832644424425112
"38",0.37,12209993.975119,5.16872161930571,0.856159414007665
"39",0.38,12209993.9469447,5.17335982836268,0.879695505024277
"40",0.39,12209993.9187451,5.17800219950231,0.903252716410256
"41",0.4,12209993.8905202,5.18264873645931,0.9268310671179
"42",0.41,12209993.86227,5.18729944297175,0.950430576116514
"43",0.42,12209993.8339944,5.19195432278106,0.974051262392423
"44",0.43,12209993.8056935,5.196613379632,0.997693144948991
"45",0.44,12209993.7773671,5.20127661727272,1.02135624280663
"46",0.45,12209993.7490154,5.20594403945472,1.04504057500283
"47",0.46,12209993.7206382,5.21061564993286,1.06874616059215
"48",0.47,12209993.6922355,5.21529145246538,1.09247301864625
"49",0.48,12209993.6638074,5.21997145081388,1.11622116825391
"50",0.49,12209993.6353537,5.22465564874335,1.13999062852104
"51",0.5,12209993.6068745,5.22934405002216,1.16378141857069
"52",0.51,12209993.5783698,5.23403665842203,1.18759355754305
"53",0.52,12209993.5498395,5.2387334777181,1.21142706459553
"54",0.53,12209993.5212835,5.24343451168889,1.23528195890268
"55",0.54,12209993.492702,5.24813976411629,1.2591582596563
"56",0.55,12209993.4640948,5.2528492387856,1.28305598606537
"57",0.56,12209993.4354619,5.25756293948552,1.30697515735615
"58",0.57,12209993.4068033,5.26228087000815,1.33091579277211
"59",0.58,12209993.3781191,5.26700303414897,1.35487791157401
"60",0.59,12209993.349409,5.27172943570688,1.3788615330399
"61",0.6,12209993.3206732,5.2764600784842,1.40286667646511
"62",0.61,12209993.2919117,5.28119496628665,1.4268933611623
"63",0.62,12209993.2631243,5.28593410292337,1.45094160646144
"64",0.63,12209993.2343111,5.29067749220691,1.47501143170986
"65",0.64,12209993.205472,5.29542513795324,1.49910285627226
"66",0.65,12209993.1766071,5.30017704398176,1.52321589953069
"67",0.66,12209993.1477162,5.3049332141153,1.54735058088462
"68",0.67,12209993.1187994,5.30969365218011,1.57150691975089
"69",0.68,12209993.0898567,5.31445836200589,1.59568493556381
"70",0.69,12209993.060888,5.31922734742576,1.6198846477751
"71",0.7,12209993.0318933,5.32400061227628,1.64410607585393
"72",0.71,12209993.0028726,5.32877816039746,1.66834923928696
"73",0.72,12209992.9738258,5.33355999563275,1.69261415757832
"74",0.73,12209992.944753,5.33834612182906,1.71690085024964
"75",0.74,12209992.9156541,5.34313654283673,1.74120933684009
"76",0.75,12209992.8865291,5.34793126250958,1.76553963690635
"77",0.76,12209992.8573779,5.35273028470486,1.78989177002265
"78",0.77,12209992.8282006,5.35753361328331,1.81426575578079
"79",0.78,12209992.7989971,5.36234125210912,1.83866161379015
"80",0.79,12209992.7697674,5.36715320504994,1.86307936367771
"81",0.8,12209992.7405115,5.3719694759769,1.88751902508806
"82",0.81,12209992.7112293,5.3767900687646,1.91198061768341
"83",0.82,12209992.6819209,5.38161498729113,1.93646416114361
"84",0.83,12209992.6525861,5.38644423543802,1.96096967516619
"85",0.84,12209992.623225,5.39127781709034,1.98549717946633
"86",0.85,12209992.5938376,5.3961157361366,2.01004669377691
"87",0.86,12209992.5644238,5.40095799646882,2.03461823784854
"88",0.87,12209992.5349836,5.4058046019825,2.05921183144951
"89",0.88,12209992.505517,5.41065555657666,2.08382749436588
"90",0.89,12209992.4760239,5.41551086415378,2.10846524640145
"91",0.9,12209992.4465044,5.42037052861987,2.1331251073778
"92",0.91,12209992.4169584,5.42523455388444,2.15780709713429
"93",0.92,12209992.3873858,5.4301029438605,2.18251123552807
"94",0.93,12209992.3577868,5.43497570246458,2.20723754243414
"95",0.94,12209992.3281611,5.43985283361672,2.2319860377453
"96",0.95,12209992.2985089,5.44473434124048,2.25675674137223
"97",0.96,12209992.2688301,5.44962022926293,2.28154967324345
"98",0.97,12209992.2391246,5.45451050161468,2.30636485330538
"99",0.98,12209992.2093925,5.45940516222984,2.33120230152233
"100",0.99,12209992.1796337,5.4643042150461,2.35606203787652
"101",1,12209992.1498483,5.46920766400462,2.38094408236812
"102",1.01,12209992.120036,5.47411551305014,2.40584845501522
"103",1.02,12209992.0901971,5.47902776613094,2.43077517585389
"104",1.03,12209992.0603313,5.4839444271988,2.45572426493818
"105",1.04,12209992.0304388,5.4888655002091,2.48069574234012
"106",1.05,12209992.0005194,5.49379098912074,2.50568962814977
"107",1.06,12209991.9705732,5.49872089789616,2.5307059424752
"108",1.07,12209991.9406001,5.50365523050139,2.55574470544253
"109",1.08,12209991.9106001,5.50859399090599,2.58080593719595
"110",1.09,12209991.8805732,5.5135371830831,2.6058896578977
"111",1.1,12209991.8505193,5.51848481100942,2.63099588772814
"112",1.11,12209991.8204385,5.52343687866519,2.65612464688572
"113",1.12,12209991.7903307,5.52839339003428,2.68127595558702
"114",1.13,12209991.7601958,5.53335434910407,2.70644983406677
"115",1.14,12209991.7300339,5.53831975986557,2.73164630257783
"116",1.15,12209991.699845,5.54328962631334,2.75686538139127
"117",1.16,12209991.669629,5.54826395244554,2.78210709079631
"118",1.17,12209991.6393858,5.5532427422639,2.80737145110042
"119",1.18,12209991.6091155,5.55822599977377,2.83265848262924
"120",1.19,12209991.5788181,5.56321372898405,2.85796820572671
"121",1.2,12209991.5484934,5.56820593390728,2.88330064075496
"122",1.21,12209991.5181416,5.57320261855958,2.90865580809444
"123",1.22,12209991.4877625,5.57820378696067,2.93403372814387
"124",1.23,12209991.4573561,5.5832094431339,2.95943442132028
"125",1.24,12209991.4269225,5.58821959110619,2.984857908059
"126",1.25,12209991.3964616,5.5932342349081,3.01030420881372
"127",1.26,12209991.3659733,5.59825337857382,3.03577334405647
"128",1.27,12209991.3354576,5.60327702614112,3.06126533427767
"129",1.28,12209991.3049146,5.60830518165143,3.0867801999861
"130",1.29,12209991.2743442,5.61333784914979,3.11231796170896
"131",1.3,12209991.2437463,5.61837503268486,3.13787863999186
"132",1.31,12209991.213121,5.62341673630896,3.16346225539885
