    time        S        I          R
1   0.00 12209995 5.000000 0.00000000
2   0.01 12209995 5.004487 0.02276781
3   0.02 12209995 5.008978 0.04555605
4   0.03 12209995 5.013473 0.06836474
5   0.04 12209995 5.017971 0.09119389
6   0.05 12209995 5.022474 0.11404353
7   0.06 12209995 5.026981 0.13691368
8   0.07 12209995 5.031492 0.15980434
9   0.08 12209995 5.036007 0.18271555
10  0.09 12209995 5.040527 0.20564732
11  0.10 12209995 5.045050 0.22859967
12  0.11 12209995 5.049577 0.25157261
13  0.12 12209995 5.054108 0.27456617
14  0.13 12209995 5.058644 0.29758036
15  0.14 12209995 5.063183 0.32061521
16  0.15 12209995 5.067727 0.34367072
17  0.16 12209995 5.072274 0.36674692
18  0.17 12209995 5.076826 0.38984383
19  0.18 12209995 5.081382 0.41296147
20  0.19 12209994 5.085941 0.43609985
21  0.20 12209994 5.090505 0.45925900
22  0.21 12209994 5.095073 0.48243893
23  0.22 12209994 5.099645 0.50563966
24  0.23 12209994 5.104222 0.52886121
25  0.24 12209994 5.108802 0.55210359
26  0.25 12209994 5.113386 0.57536684
27  0.26 12209994 5.117975 0.59865095
28  0.27 12209994 5.122568 0.62195597
29  0.28 12209994 5.127164 0.64528189
30  0.29 12209994 5.131765 0.66862875
31  0.30 12209994 5.136370 0.69199656
32  0.31 12209994 5.140980 0.71538534
33  0.32 12209994 5.145593 0.73879510
34  0.33 12209994 5.150210 0.76222588
35  0.34 12209994 5.154832 0.78567767
36  0.35 12209994 5.159458 0.80915052
37  0.36 12209994 5.164088 0.83264442
38  0.37 12209994 5.168722 0.85615941
39  0.38 12209994 5.173360 0.87969551
40  0.39 12209994 5.178002 0.90325272
41  0.40 12209994 5.182649 0.92683107
42  0.41 12209994 5.187299 0.95043058
43  0.42 12209994 5.191954 0.97405126
44  0.43 12209994 5.196613 0.99769314
45  0.44 12209994 5.201277 1.02135624
46  0.45 12209994 5.205944 1.04504058
47  0.46 12209994 5.210616 1.06874616
48  0.47 12209994 5.215291 1.09247302
49  0.48 12209994 5.219971 1.11622117
50  0.49 12209994 5.224656 1.13999063
51  0.50 12209994 5.229344 1.16378142
52  0.51 12209994 5.234037 1.18759356
53  0.52 12209994 5.238733 1.21142706
54  0.53 12209994 5.243435 1.23528196
55  0.54 12209993 5.248140 1.25915826
56  0.55 12209993 5.252849 1.28305599
57  0.56 12209993 5.257563 1.30697516
58  0.57 12209993 5.262281 1.33091579
59  0.58 12209993 5.267003 1.35487791
60  0.59 12209993 5.271729 1.37886153
61  0.60 12209993 5.276460 1.40286668
62  0.61 12209993 5.281195 1.42689336
63  0.62 12209993 5.285934 1.45094161
64  0.63 12209993 5.290677 1.47501143
65  0.64 12209993 5.295425 1.49910286
66  0.65 12209993 5.300177 1.52321590
67  0.66 12209993 5.304933 1.54735058
68  0.67 12209993 5.309694 1.57150692
