"","time","S","I","R"
"1",0,10229998,2,0
"2",0.01,10229997.9799849,2.00302688971674,0.0169882408294329
"3",0.02,10229997.9599394,2.00605836042029,0.0340021923987206
"4",0.03,10229997.9398637,2.00909441904813,0.051041893644986
"5",0.04,10229997.9197576,2.01213507167497,0.0681073786630818
"6",0.05,10229997.899621,2.01518032641034,0.0851986929684855
"7",0.06,10229997.8794539,2.01823018993,0.102315874029396
"8",0.07,10229997.8592564,2.02128466920885,0.119458960993138
"9",0.08,10229997.8390282,2.02434377123242,0.136627993066524
"10",0.09,10229997.8187695,2.02740750299678,0.153823009515696
"11",0.1,10229997.7984801,2.03047587150862,0.171044049666221
"12",0.11,10229997.77816,2.03354888378521,0.188291152903182
"13",0.12,10229997.7578091,2.03662654685377,0.20556435866754
"14",0.13,10229997.7374274,2.03970886775366,0.222863706468224
"15",0.14,10229997.7170149,2.04279585353398,0.240189235868994
"16",0.15,10229997.6965715,2.04588751125452,0.257540986493483
"17",0.16,10229997.6760972,2.0489838479858,0.274918998025705
"18",0.17,10229997.6555918,2.05208487080906,0.29232331020973
"19",0.18,10229997.6350555,2.05519058681626,0.309753962849782
"20",0.19,10229997.614488,2.05830100311007,0.327210995810322
"21",0.2,10229997.5938894,2.06141612680394,0.344694449016143
"22",0.21,10229997.5732597,2.06453596502207,0.362204362452458
"23",0.22,10229997.5525987,2.06766052489943,0.379740776164995
"24",0.23,10229997.5319065,2.0707898135818,0.397303730260089
"25",0.24,10229997.5111829,2.07392383822577,0.414893264904769
"26",0.25,10229997.490428,2.07706260599877,0.432509420326855
"27",0.26,10229997.4696416,2.08020612407906,0.450152236815049
"28",0.27,10229997.4488238,2.08335439965579,0.467821754719023
"29",0.28,10229997.4279745,2.08650743992895,0.485518014449516
"30",0.29,10229997.4070937,2.08966525210946,0.503241056478425
"31",0.3,10229997.3861812,2.09282784341914,0.520990921338898
"32",0.31,10229997.3652371,2.09599522109075,0.538767649625423
"33",0.32,10229997.3442613,2.09916739236796,0.556571281993928
"34",0.33,10229997.3232538,2.10234436450546,0.574401859161866
"35",0.34,10229997.3022144,2.10552614476886,0.592259421908314
"36",0.35,10229997.2811433,2.10871274043481,0.610144011074064
"37",0.36,10229997.2600402,2.11190415879094,0.628055667561717
"38",0.37,10229997.2389052,2.11510040713594,0.645994432335774
"39",0.38,10229997.2177382,2.11830149277952,0.663960346422734
"40",0.39,10229997.1965391,2.12150742304245,0.681953450911185
"41",0.4,10229997.175308,2.12471820525661,0.699973786951899
"42",0.41,10229997.1540448,2.12793384676494,0.718021395757924
"43",0.42,10229997.1327493,2.13115435492152,0.736096318604681
"44",0.43,10229997.1114217,2.13437973709153,0.754198596830058
"45",0.44,10229997.0900617,2.13761000065134,0.772328271834503
"46",0.45,10229997.0686695,2.14084515298843,0.79048538508112
"47",0.46,10229997.0472448,2.14408520150149,0.808669978095763
"48",0.47,10229997.0257878,2.14733015360042,0.826882092467131
"49",0.48,10229997.0042982,2.15058001670629,0.845121769846865
"50",0.49,10229996.9827762,2.15383479825146,0.863389051949639
"51",0.5,10229996.9612215,2.15709450567947,0.881683980553261
"52",0.51,10229996.9396343,2.16035914644519,0.900006597498763
"53",0.52,10229996.9180143,2.16362872801472,0.918356944690501
"54",0.53,10229996.8963617,2.16690325786549,0.936735064096249
"55",0.54,10229996.8746763,2.17018274348623,0.955140997747295
"56",0.55,10229996.852958,2.17346719237702,0.973574787738535
"57",0.56,10229996.8312069,2.17675661204927,0.992036476228575
"58",0.57,10229996.8094229,2.18005101002577,1.01052610543982
"59",0.58,10229996.7876059,2.18335039384069,1.02904371765858
"60",0.59,10229996.7657559,2.1866547710396,1.04758935523516
