    time        S        I          R
1   0.00 10229998 2.000000 0.00000000
2   0.01 10229998 2.003027 0.01698824
3   0.02 10229998 2.006058 0.03400219
4   0.03 10229998 2.009094 0.05104189
5   0.04 10229998 2.012135 0.06810738
6   0.05 10229998 2.015180 0.08519869
7   0.06 10229998 2.018230 0.10231587
8   0.07 10229998 2.021285 0.11945896
9   0.08 10229998 2.024344 0.13662799
10  0.09 10229998 2.027408 0.15382301
11  0.10 10229998 2.030476 0.17104405
12  0.11 10229998 2.033549 0.18829115
13  0.12 10229998 2.036627 0.20556436
14  0.13 10229998 2.039709 0.22286371
15  0.14 10229998 2.042796 0.24018924
16  0.15 10229998 2.045888 0.25754099
17  0.16 10229998 2.048984 0.27491900
18  0.17 10229998 2.052085 0.29232331
19  0.18 10229998 2.055191 0.30975396
20  0.19 10229998 2.058301 0.32721100
21  0.20 10229998 2.061416 0.34469445
22  0.21 10229998 2.064536 0.36220436
23  0.22 10229998 2.067661 0.37974078
24  0.23 10229998 2.070790 0.39730373
25  0.24 10229998 2.073924 0.41489326
26  0.25 10229997 2.077063 0.43250942
27  0.26 10229997 2.080206 0.45015224
28  0.27 10229997 2.083354 0.46782175
29  0.28 10229997 2.086507 0.48551801
30  0.29 10229997 2.089665 0.50324106
31  0.30 10229997 2.092828 0.52099092
32  0.31 10229997 2.095995 0.53876765
33  0.32 10229997 2.099167 0.55657128
34  0.33 10229997 2.102344 0.57440186
35  0.34 10229997 2.105526 0.59225942
36  0.35 10229997 2.108713 0.61014401
37  0.36 10229997 2.111904 0.62805567
38  0.37 10229997 2.115100 0.64599443
39  0.38 10229997 2.118301 0.66396035
40  0.39 10229997 2.121507 0.68195345
41  0.40 10229997 2.124718 0.69997379
42  0.41 10229997 2.127934 0.71802140
43  0.42 10229997 2.131154 0.73609632
44  0.43 10229997 2.134380 0.75419860
45  0.44 10229997 2.137610 0.77232827
46  0.45 10229997 2.140845 0.79048539
47  0.46 10229997 2.144085 0.80866998
48  0.47 10229997 2.147330 0.82688209
49  0.48 10229997 2.150580 0.84512177
50  0.49 10229997 2.153835 0.86338905
51  0.50 10229997 2.157095 0.88168398
52  0.51 10229997 2.160359 0.90000660
53  0.52 10229997 2.163629 0.91835694
54  0.53 10229997 2.166903 0.93673506
55  0.54 10229997 2.170183 0.95514100
56  0.55 10229997 2.173467 0.97357479
57  0.56 10229997 2.176757 0.99203648
58  0.57 10229997 2.180051 1.01052611
59  0.58 10229997 2.183350 1.02904372
60  0.59 10229997 2.186655 1.04758936
61  0.60 10229997 2.189964 1.06616306
62  0.61 10229997 2.193279 1.08476488
63  0.62 10229997 2.196598 1.10339484
64  0.63 10229997 2.199922 1.12205301
65  0.64 10229997 2.203252 1.14073941
66  0.65 10229997 2.206586 1.15945409
67  0.66 10229997 2.209926 1.17819710
68  0.67 10229997 2.213270 1.19696847
69  0.68 10229997 2.216620 1.21576825
70  0.69 10229997 2.219975 1.23459649
71  0.70 10229997 2.223335 1.25345322
72  0.71 10229997 2.226700 1.27233849
73  0.72 10229996 2.230070 1.29125234
74  0.73 10229996 2.233445 1.31019481
75  0.74 10229996 2.236825 1.32916596
76  0.75 10229996 2.240210 1.34816581
77  0.76 10229996 2.243601 1.36719442
78  0.77 10229996 2.246996 1.38625183
79  0.78 10229996 2.250397 1.40533808
80  0.79 10229996 2.253803 1.42445322
81  0.80 10229996 2.257214 1.44359729
82  0.81 10229996 2.260630 1.46277033
83  0.82 10229996 2.264051 1.48197239
84  0.83 10229996 2.267478 1.50120351
85  0.84 10229996 2.270909 1.52046373
86  0.85 10229996 2.274346 1.53975311
87  0.86 10229996 2.277788 1.55907167
88  0.87 10229996 2.281236 1.57841948
89  0.88 10229996 2.284688 1.59779656
90  0.89 10229996 2.288146 1.61720298
91  0.90 10229996 2.291609 1.63663876
92  0.91 10229996 2.295077 1.65610396
93  0.92 10229996 2.298551 1.67559862
94  0.93 10229996 2.302029 1.69512278
95  0.94 10229996 2.305513 1.71467649
96  0.95 10229996 2.309003 1.73425979
97  0.96 10229996 2.312497 1.75387273
98  0.97 10229996 2.315997 1.77351536
