"","time","S","I","R"
"1",0,56319997,3,0
"2",0.01,56319996.9832126,3.00355700140527,0.0132303915618361
"3",0.02,56319996.9664053,3.00711822022098,0.026476469948433
"4",0.03,56319996.9495781,3.01068366145175,0.0397382537747883
"5",0.04,56319996.9327309,3.01425332947774,0.0530157593330497
"6",0.05,56319996.9158637,3.01782723014473,0.0663090083669022
"7",0.06,56319996.8989766,3.02140536826271,0.0796180187673772
"8",0.07,56319996.8820694,3.02498774885587,0.0929428092220951
"9",0.08,56319996.8651422,3.02857437695433,0.106283398440925
"10",0.09,56319996.8481949,3.03216525759421,0.119639805155917
"11",0.1,56319996.8312275,3.03576039581758,0.133012048121331
"12",0.11,56319996.81424,3.03935979667251,0.146400146113665
"13",0.12,56319996.7972324,3.04296346521267,0.159804117930286
"14",0.13,56319996.7802046,3.04657140649854,0.173223982393939
"15",0.14,56319996.7631566,3.05018362559613,0.186659758347835
"16",0.15,56319996.7460884,3.05380012757742,0.200111464657525
"17",0.16,56319996.7289999,3.05742091752048,0.213579120211082
"18",0.17,56319996.7118912,3.06104600050938,0.227062743918976
"19",0.18,56319996.6947622,3.06467538163423,0.240562354714095
"20",0.19,56319996.6776129,3.06830906599117,0.25407797155178
"21",0.2,56319996.6604433,3.07194705868237,0.267609613409843
"22",0.21,56319996.6432533,3.07558936481607,0.281157299288598
"23",0.22,56319996.6260429,3.07923598950655,0.294721048210887
"24",0.23,56319996.6088122,3.08288693787418,0.308300879222107
"25",0.24,56319996.5915609,3.08654221504536,0.321896811390236
"26",0.25,56319996.5742893,3.0902018261526,0.33550886380586
"27",0.26,56319996.5569971,3.09386577633449,0.349137055582201
"28",0.27,56319996.5396845,3.0975340707357,0.362781405855143
"29",0.28,56319996.5223513,3.10120671450701,0.376441933783256
"30",0.29,56319996.5049976,3.10488371280532,0.390118658547829
"31",0.3,56319996.4876233,3.10856507079361,0.403811599352891
"32",0.31,56319996.4702284,3.11225079364101,0.417520775425243
"33",0.32,56319996.4528129,3.11594088652277,0.43124620601448
"34",0.33,56319996.4353767,3.11963535462027,0.444987910393022
"35",0.34,56319996.4179199,3.12333420312105,0.458745907856139
"36",0.35,56319996.4004423,3.12703743721879,0.472520217721978
"37",0.36,56319996.382944,3.13074506211332,0.486310859331593
"38",0.37,56319996.365425,3.13445708301064,0.500117852048968
"39",0.38,56319996.3478852,3.13817350512294,0.513941215261047
"40",0.39,56319996.3303247,3.14189433366856,0.52778096837776
"41",0.4,56319996.3127433,3.14561957387205,0.541637130832051
"42",0.41,56319996.295141,3.14934923096415,0.555509722079904
"43",0.42,56319996.2775179,3.1530833101818,0.569398761600372
"44",0.43,56319996.2598739,3.15682181676815,0.583304268895604
"45",0.44,56319996.2422089,3.16056475597255,0.597226263490872
"46",0.45,56319996.2245231,3.1643121330506,0.611164764934597
"47",0.46,56319996.2068162,3.16806395326412,0.625119792798378
"48",0.47,56319996.1890884,3.17182022188117,0.639091366677021
"49",0.48,56319996.1713395,3.17558094417606,0.653079506188564
"50",0.49,56319996.1535696,3.17934612542933,0.667084230974304
"51",0.5,56319996.1357786,3.18311577092782,0.681105560698829
"52",0.51,56319996.1179666,3.18688988596461,0.695143515050039
"53",0.52,56319996.1001334,3.19066847583905,0.709198113739179
"54",0.53,56319996.082279,3.19445154585681,0.723269376500866
"55",0.54,56319996.0644035,3.19823910132982,0.737357323093113
"56",0.55,56319996.0465068,3.20203114757631,0.751461973297361
"57",0.56,56319996.0285889,3.20582768992082,0.765583346918506
"58",0.57,56319996.0106497,3.20962873369421,0.779721463784923
"59",0.58,56319995.9926893,3.21343428423365,0.793876343748499
"60",0.59,56319995.9747076,3.21724434688265,0.808048006684659
"61",0.6,56319995.9567045,3.22105892699105,0.822236472492393
"62",0.61,56319995.9386801,3.22487802991502,0.836441761094282
"63",0.62,56319995.9206344,3.2287016610171,0.850663892436532
"64",0.63,56319995.9025672,3.23252982566618,0.864902886488997
"65",0.64,56319995.8844786,3.23636252923751,0.879158763245209
"66",0.65,56319995.8663686,3.24019977711273,0.893431542722404
"67",0.66,56319995.8482371,3.24404157467984,0.907721244961554
"68",0.67,56319995.8300841,3.24788792733324,0.922027890027391
"69",0.68,56319995.8119096,3.25173884047373,0.936351498008438
"70",0.69,56319995.7937135,3.2555943195085,0.950692089017035
"71",0.7,56319995.7754959,3.25945436985117,0.96504968318937
"72",0.71,56319995.7572566,3.26331899692175,0.979424300685506
"73",0.72,56319995.7389958,3.26718820614671,0.993815961689406
"74",0.73,56319995.7207133,3.27106200295893,1.00822468640897
"75",0.74,56319995.7024091,3.27494039279774,1.02265049507605
"76",0.75,56319995.6840831,3.27882338110892,1.03709340794649
"77",0.76,56319995.6657355,3.2827109733447,1.05155344530015
"78",0.77,56319995.6473661,3.28660317496379,1.06603062744095
"79",0.78,56319995.628975,3.29049999143135,1.08052497469685
"80",0.79,56319995.610562,3.29440142821903,1.09503650741994
"81",0.8,56319995.5921272,3.29830749080499,1.10956524598643
"82",0.81,56319995.5736705,3.30221818467384,1.1241112107967
"83",0.82,56319995.555192,3.30613351531673,1.1386744222753
"84",0.83,56319995.5366915,3.3100534882313,1.15325490087101
"85",0.84,56319995.5181692,3.31397810892172,1.16785266705685
"86",0.85,56319995.4996248,3.31790738289869,1.18246774133012
"87",0.86,56319995.4810585,3.32184131567943,1.19710014421242
"88",0.87,56319995.4624701,3.3257799127877,1.21174989624967
"89",0.88,56319995.4438597,3.32972317975382,1.22641701801216
"90",0.89,56319995.4252273,3.33367112211467,1.24110153009459
"91",0.9,56319995.4065727,3.33762374541369,1.25580345311604
"92",0.91,56319995.3878961,3.34158105520088,1.27052280772006
"93",0.92,56319995.3691973,3.34554305703284,1.28525961457467
"94",0.93,56319995.3504763,3.34950975647274,1.3000138943724
"95",0.94,56319995.3317331,3.35348115909037,1.31478566783032
"96",0.95,56319995.3129677,3.3574572704621,1.32957495569004
"97",0.96,56319995.2941801,3.36143809617093,1.34438177871779
"98",0.97,56319995.2753701,3.36542364180646,1.3592061577044
"99",0.98,56319995.2565379,3.36941391296494,1.37404811346536
"100",0.99,56319995.2376833,3.37340891524923,1.38890766684085
"101",1,56319995.2188064,3.37740865426885,1.40378483869575
"102",1.01,56319995.1999071,3.38141313563998,1.41867964991967
"103",1.02,56319995.1809854,3.38542236498543,1.433592121427
"104",1.03,56319995.1620413,3.3894363479347,1.44852227415692
"105",1.04,56319995.1430747,3.39345509012396,1.46347012907344
"106",1.05,56319995.1240856,3.39747859719606,1.47843570716544
"107",1.06,56319995.105074,3.40150687480053,1.49341902944667
"108",1.07,56319995.0860399,3.40553992859362,1.50842011695578
"109",1.08,56319995.0669832,3.40957776423828,1.5234389907564
"110",1.09,56319995.0479039,3.41362038740415,1.53847567193711
"111",1.1,56319995.0288019,3.41766780376763,1.55353018161151
"112",1.11,56319995.0096774,3.42172001901183,1.56860254091821
"113",1.12,56319994.9905301,3.4257770388266,1.5836927710209
"114",1.13,56319994.9713602,3.42983886890852,1.59880089310837
"115",1.14,56319994.9521675,3.43390551496097,1.61392692839453
"116",1.15,56319994.9329521,3.43797698269404,1.62907089811841
"117",1.16,56319994.9137138,3.44205327782462,1.64423282354427
"118",1.17,56319994.8944528,3.44613440607637,1.65941272596155
"119",1.18,56319994.8751689,3.45022037317975,1.67461062668495
"120",1.19,56319994.8558622,3.45431118487198,1.68982654705444
"121",1.2,56319994.8365326,3.45840684689712,1.70506050843527
"122",1.21,56319994.81718,3.46250736500603,1.72031253221804
"123",1.22,56319994.7978046,3.46661274495637,1.73558263981872
"124",1.23,56319994.7784061,3.47072299251265,1.75087085267867
"125",1.24,56319994.7589846,3.47483811344619,1.76617719226464
"126",1.25,56319994.7395402,3.47895811353519,1.78150168006888
"127",1.26,56319994.7200726,3.48308299856466,1.7968443376091
"128",1.27,56319994.700582,3.48721277432649,1.8122051864285
"129",1.28,56319994.6810682,3.49134744661945,1.82758424809587
"130",1.29,56319994.6615314,3.49548702124915,1.84298154420553
"131",1.3,56319994.6419713,3.49963150402812,1.85839709637743
"132",1.31,56319994.6223881,3.50378090077576,1.87383092625715
"133",1.32,56319994.6027817,3.50793521731837,1.88928305551593
"134",1.33,56319994.583152,3.51209445948916,1.9047535058507
"135",1.34,56319994.563499,3.51625863312828,1.92024229898413
"136",1.35,56319994.5438227,3.52042774408276,1.93574945666462
"137",1.36,56319994.5241231,3.52460179820659,1.95127500066639
"138",1.37,56319994.5044002,3.52878080136071,1.96681895278945
"139",1.38,56319994.4846538,3.53296475941299,1.98238133485967
"140",1.39,56319994.4648841,3.53715367823826,1.99796216872879
"141",1.4,56319994.4450909,3.54134756371832,2.01356147627447
"142",1.41,56319994.4252742,3.54554642174195,2.02917927940029
"143",1.42,56319994.4054341,3.54975025820489,2.04481560003584
"144",1.43,56319994.3855704,3.5539590790099,2.06047046013666
"145",1.44,56319994.3656832,3.55817289006672,2.07614388168435
"146",1.45,56319994.3457723,3.56239169729209,2.09183588668658
"147",1.46,56319994.3258379,3.56661550660978,2.1075464971771
"148",1.47,56319994.3058799,3.57084432395059,2.12327573521578
"149",1.48,56319994.2858982,3.57507815525233,2.13902362288866
"150",1.49,56319994.2658927,3.57931700645987,2.15479018230796
"151",1.5,56319994.2458636,3.58356088352512,2.1705754356121
"152",1.51,56319994.2258107,3.58780979240703,2.18637940496579
"153",1.52,56319994.2057341,3.59206373907165,2.20220211255998
"154",1.53,56319994.1856336,3.59632272949209,2.21804358061196
"155",1.54,56319994.1655093,3.60058676964851,2.23390383136533
"156",1.55,56319994.1453612,3.60485586552822,2.2497828870901
"157",1.56,56319994.1251891,3.60913002312558,2.26568077008266
"158",1.57,56319994.1049932,3.61340924844208,2.28159750266584
"159",1.58,56319994.0847733,3.61769354748632,2.29753310718894
"160",1.59,56319994.0645294,3.62198292627401,2.31348760602776
"161",1.6,56319994.0442615,3.62627739082803,2.32946102158463
"162",1.61,56319994.0239696,3.63057694717837,2.34545337628845
"163",1.62,56319994.0036536,3.63488160136217,2.36146469259468
"164",1.63,56319993.9833136,3.63919135942374,2.37749499298545
"165",1.64,56319993.9629494,3.64350622741455,2.39354429996952
"166",1.65,56319993.9425611,3.64782621139325,2.40961263608234
"167",1.66,56319993.9221486,3.65215131742567,2.42570002388607
"168",1.67,56319993.9017119,3.65648155158483,2.44180648596965
"169",1.68,56319993.881251,3.66081691995095,2.45793204494878
"170",1.69,56319993.8607658,3.66515742861147,2.47407672346598
"171",1.7,56319993.8402563,3.66950308366103,2.49024054419061
"172",1.71,56319993.8197225,3.67385389120151,2.50642352981893
"173",1.72,56319993.7991644,3.67820985734202,2.52262570307407
"174",1.73,56319993.7785819,3.68257098819892,2.53884708670615
"175",1.74,56319993.7579749,3.6869372898958,2.55508770349224
"176",1.75,56319993.7373436,3.69130876856354,2.5713475762364
"177",1.76,56319993.7166878,3.69568543034027,2.58762672776975
"178",1.77,56319993.6960075,3.7000672813714,2.60392518095048
"179",1.78,56319993.6753026,3.70445432780963,2.62024295866388
"180",1.79,56319993.6545733,3.70884657581496,2.63658008382236
"181",1.8,56319993.6338193,3.71324403155468,2.65293657936551
"182",1.81,56319993.6130408,3.7176467012034,2.66931246826011
"183",1.82,56319993.5922376,3.72205459094306,2.6857077735002
"184",1.83,56319993.5714097,3.72646770696291,2.70212251810703
"185",1.84,56319993.5505571,3.73088605545955,2.71855672512919
"186",1.85,56319993.5296799,3.73530964263693,2.73501041764259
"187",1.86,56319993.5087778,3.73973847470635,2.75148361875047
"188",1.87,56319993.487851,3.74417255788648,2.76797635158351
"189",1.88,56319993.4668994,3.74861189840335,2.78448863929978
"190",1.89,56319993.4459229,3.75305650249039,2.80102050508482
"191",1.9,56319993.4249216,3.75750637638841,2.81757197215165
"192",1.91,56319993.4038953,3.76196152634561,2.83414306374083
"193",1.92,56319993.3828442,3.76642195861762,2.85073380312047
"194",1.93,56319993.361768,3.77088767946748,2.86734421358626
"195",1.94,56319993.3406669,3.77535869516565,2.88397431846152
"196",1.95,56319993.3195408,3.77983501199002,2.90062414109721
"197",1.96,56319993.2983896,3.78431663622593,2.91729370487199
"198",1.97,56319993.2772133,3.78880357416618,2.93398303319224
"199",1.98,56319993.2560119,3.79329583211102,2.95069214949208
"200",1.99,56319993.2347854,3.79779341636818,2.96742107723342
"201",2,56319993.2135338,3.80229633325285,2.984169839906
"202",2.01,56319993.1922569,3.80680458908773,3.0009384610274
"203",2.02,56319993.1709548,3.811318190203,3.01772696414308
"204",2.03,56319993.1496274,3.81583714293635,3.03453537282641
"205",2.04,56319993.1282748,3.820361453633,3.05136371067874
"206",2.05,56319993.1068968,3.82489112864567,3.06821200132937
"207",2.06,56319993.0854935,3.82942617433461,3.08508026843564
"208",2.07,56319993.0640648,3.83396659706764,3.10196853568293
"209",2.08,56319993.0426107,3.83851240322011,3.1188768267847
"210",2.09,56319993.0211312,3.84306359917493,3.13580516548254
"211",2.1,56319992.9996262,3.84762019132257,3.15275357554616
"212",2.11,56319992.9780956,3.8521821860611,3.16972208077348
"213",2.12,56319992.9565396,3.85674958979615,3.18671070499064
"214",2.13,56319992.934958,3.86132240894097,3.203719472052
"215",2.14,56319992.9133509,3.8659006499164,3.22074840584023
"216",2.15,56319992.8917181,3.87048431915088,3.2377975302663
