    time        S        I          R
1   0.00 56319997 3.000000 0.00000000
2   0.01 56319997 3.003557 0.01323039
3   0.02 56319997 3.007118 0.02647647
4   0.03 56319997 3.010684 0.03973825
5   0.04 56319997 3.014253 0.05301576
6   0.05 56319997 3.017827 0.06630901
7   0.06 56319997 3.021405 0.07961802
8   0.07 56319997 3.024988 0.09294281
9   0.08 56319997 3.028574 0.10628340
10  0.09 56319997 3.032165 0.11963981
11  0.10 56319997 3.035760 0.13301205
12  0.11 56319997 3.039360 0.14640015
13  0.12 56319997 3.042963 0.15980412
14  0.13 56319997 3.046571 0.17322398
15  0.14 56319997 3.050184 0.18665976
16  0.15 56319997 3.053800 0.20011146
17  0.16 56319997 3.057421 0.21357912
18  0.17 56319997 3.061046 0.22706274
19  0.18 56319997 3.064675 0.24056235
20  0.19 56319997 3.068309 0.25407797
21  0.20 56319997 3.071947 0.26760961
22  0.21 56319997 3.075589 0.28115730
23  0.22 56319997 3.079236 0.29472105
24  0.23 56319997 3.082887 0.30830088
25  0.24 56319997 3.086542 0.32189681
26  0.25 56319997 3.090202 0.33550886
27  0.26 56319997 3.093866 0.34913706
28  0.27 56319997 3.097534 0.36278141
29  0.28 56319997 3.101207 0.37644193
30  0.29 56319997 3.104884 0.39011866
31  0.30 56319996 3.108565 0.40381160
32  0.31 56319996 3.112251 0.41752078
33  0.32 56319996 3.115941 0.43124621
34  0.33 56319996 3.119635 0.44498791
35  0.34 56319996 3.123334 0.45874591
36  0.35 56319996 3.127037 0.47252022
37  0.36 56319996 3.130745 0.48631086
38  0.37 56319996 3.134457 0.50011785
39  0.38 56319996 3.138174 0.51394122
40  0.39 56319996 3.141894 0.52778097
41  0.40 56319996 3.145620 0.54163713
42  0.41 56319996 3.149349 0.55550972
43  0.42 56319996 3.153083 0.56939876
44  0.43 56319996 3.156822 0.58330427
45  0.44 56319996 3.160565 0.59722626
46  0.45 56319996 3.164312 0.61116476
47  0.46 56319996 3.168064 0.62511979
48  0.47 56319996 3.171820 0.63909137
49  0.48 56319996 3.175581 0.65307951
50  0.49 56319996 3.179346 0.66708423
51  0.50 56319996 3.183116 0.68110556
52  0.51 56319996 3.186890 0.69514352
53  0.52 56319996 3.190668 0.70919811
54  0.53 56319996 3.194452 0.72326938
55  0.54 56319996 3.198239 0.73735732
56  0.55 56319996 3.202031 0.75146197
57  0.56 56319996 3.205828 0.76558335
58  0.57 56319996 3.209629 0.77972146
59  0.58 56319996 3.213434 0.79387634
60  0.59 56319996 3.217244 0.80804801
61  0.60 56319996 3.221059 0.82223647
62  0.61 56319996 3.224878 0.83644176
63  0.62 56319996 3.228702 0.85066389
64  0.63 56319996 3.232530 0.86490289
65  0.64 56319996 3.236363 0.87915876
66  0.65 56319996 3.240200 0.89343154
67  0.66 56319996 3.244042 0.90772124
