    time        S        I          R
1   0.00 11459998 2.000000 0.00000000
2   0.01 11459998 2.003559 0.01645920
3   0.02 11459998 2.007124 0.03294768
4   0.03 11459998 2.010695 0.04946550
5   0.04 11459998 2.014272 0.06601270
6   0.05 11459998 2.017856 0.08258935
7   0.06 11459998 2.021447 0.09919550
8   0.07 11459998 2.025044 0.11583119
9   0.08 11459998 2.028647 0.13249648
10  0.09 11459998 2.032256 0.14919142
11  0.10 11459998 2.035872 0.16591607
12  0.11 11459998 2.039495 0.18267047
13  0.12 11459998 2.043123 0.19945469
14  0.13 11459998 2.046759 0.21626877
15  0.14 11459998 2.050401 0.23311277
16  0.15 11459998 2.054049 0.24998674
17  0.16 11459998 2.057704 0.26689073
18  0.17 11459998 2.061365 0.28382480
19  0.18 11459998 2.065033 0.30078900
20  0.19 11459998 2.068707 0.31778339
21  0.20 11459998 2.072388 0.33480801
22  0.21 11459998 2.076075 0.35186292
23  0.22 11459998 2.079769 0.36894819
24  0.23 11459998 2.083470 0.38606385
25  0.24 11459998 2.087177 0.40320996
26  0.25 11459997 2.090890 0.42038658
27  0.26 11459997 2.094611 0.43759377
28  0.27 11459997 2.098338 0.45483157
29  0.28 11459997 2.102071 0.47210004
30  0.29 11459997 2.105812 0.48939924
31  0.30 11459997 2.109558 0.50672922
32  0.31 11459997 2.113312 0.52409003
33  0.32 11459997 2.117072 0.54148173
34  0.33 11459997 2.120839 0.55890438
35  0.34 11459997 2.124613 0.57635803
36  0.35 11459997 2.128393 0.59384273
37  0.36 11459997 2.132180 0.61135855
38  0.37 11459997 2.135974 0.62890553
39  0.38 11459997 2.139774 0.64648373
40  0.39 11459997 2.143582 0.66409321
41  0.40 11459997 2.147396 0.68173402
42  0.41 11459997 2.151216 0.69940622
43  0.42 11459997 2.155044 0.71710986
44  0.43 11459997 2.158879 0.73484500
45  0.44 11459997 2.162720 0.75261170
46  0.45 11459997 2.166568 0.77041001
47  0.46 11459997 2.170423 0.78823999
48  0.47 11459997 2.174285 0.80610169
49  0.48 11459997 2.178153 0.82399518
50  0.49 11459997 2.182029 0.84192050
51  0.50 11459997 2.185911 0.85987772
52  0.51 11459997 2.189801 0.87786689
53  0.52 11459997 2.193697 0.89588807
54  0.53 11459997 2.197600 0.91394131
55  0.54 11459997 2.201511 0.93202667
56  0.55 11459997 2.205428 0.95014422
57  0.56 11459997 2.209352 0.96829399
58  0.57 11459997 2.213283 0.98647607
59  0.58 11459997 2.217221 1.00469049
60  0.59 11459997 2.221166 1.02293733
61  0.60 11459997 2.225118 1.04121663
62  0.61 11459997 2.229077 1.05952845
63  0.62 11459997 2.233044 1.07787286
64  0.63 11459997 2.237017 1.09624990
65  0.64 11459997 2.240997 1.11465965
66  0.65 11459997 2.244984 1.13310215
67  0.66 11459997 2.248979 1.15157746
68  0.67 11459997 2.252981 1.17008565
69  0.68 11459997 2.256989 1.18862677
70  0.69 11459997 2.261005 1.20720088
71  0.70 11459997 2.265028 1.22580804
72  0.71 11459996 2.269058 1.24444831
73  0.72 11459996 2.273096 1.26312174
74  0.73 11459996 2.277140 1.28182840
75  0.74 11459996 2.281192 1.30056835
76  0.75 11459996 2.285251 1.31934163
77  0.76 11459996 2.289317 1.33814832
78  0.77 11459996 2.293390 1.35698848
79  0.78 11459996 2.297471 1.37586215
80  0.79 11459996 2.301559 1.39476941
81  0.80 11459996 2.305654 1.41371031
82  0.81 11459996 2.309756 1.43268491
83  0.82 11459996 2.313866 1.45169327
84  0.83 11459996 2.317983 1.47073545
85  0.84 11459996 2.322107 1.48981152
86  0.85 11459996 2.326239 1.50892153
87  0.86 11459996 2.330378 1.52806553
88  0.87 11459996 2.334525 1.54724361
89  0.88 11459996 2.338678 1.56645580
90  0.89 11459996 2.342840 1.58570218
91  0.90 11459996 2.347008 1.60498281
92  0.91 11459996 2.351184 1.62429774
93  0.92 11459996 2.355368 1.64364703
94  0.93 11459996 2.359559 1.66303076
95  0.94 11459996 2.363757 1.68244897
96  0.95 11459996 2.367963 1.70190174
97  0.96 11459996 2.372176 1.72138912
98  0.97 11459996 2.376397 1.74091117
99  0.98 11459996 2.380625 1.76046795
100 0.99 11459996 2.384861 1.78005954
101 1.00 11459996 2.389104 1.79968598
102 1.01 11459996 2.393355 1.81934735
103 1.02 11459996 2.397614 1.83904369
104 1.03 11459996 2.401880 1.85877509
105 1.04 11459996 2.406154 1.87854159
106 1.05 11459996 2.410435 1.89834326
107 1.06 11459996 2.414724 1.91818017
108 1.07 11459996 2.419020 1.93805237
109 1.08 11459996 2.423324 1.95795993
110 1.09 11459996 2.427636 1.97790291
111 1.10 11459996 2.431956 1.99788137
112 1.11 11459996 2.436283 2.01789538
113 1.12 11459996 2.440618 2.03794501
114 1.13 11459995 2.444960 2.05803030
115 1.14 11459995 2.449310 2.07815134
116 1.15 11459995 2.453669 2.09830817
117 1.16 11459995 2.458034 2.11850088
118 1.17 11459995 2.462408 2.13872951
119 1.18 11459995 2.466789 2.15899413
120 1.19 11459995 2.471178 2.17929481
121 1.20 11459995 2.475575 2.19963161
122 1.21 11459995 2.479980 2.22000459
123 1.22 11459995 2.484393 2.24041383
