"","time","X1","X2"
"1",0,12209990,10
"2",0.01,12209989.4357451,10.5437160081243
"3",0.02,12209988.8408107,11.1169946970094
"4",0.03,12209988.2135289,11.7214434321184
"5",0.04,12209987.5521408,12.3587569733244
"6",0.05,12209986.854792,13.0307222266099
"7",0.06,12209986.1195273,13.7392232541158
"8",0.07,12209985.3442851,14.4862465565847
"9",0.08,12209984.5268918,15.2738866430083
"10",0.09,12209983.6650556,16.1043519030949
"11",0.1,12209982.7563602,16.9799707990176
"12",0.11,12209981.7982575,17.9031983938042
"13",0.12,12209980.7880615,18.8766232346697
"14",0.13,12209979.7229395,19.9029746105879
"15",0.14,12209978.5999054,20.9851302044498
"16",0.15,12209977.4158103,22.1261241612581
"17",0.16,12209976.1673342,23.3291555949792
"18",0.17,12209974.8509766,24.5975975578969
"19",0.18,12209973.4630469,25.9350064976148
"20",0.19,12209971.9996535,27.3451322282156
"21",0.2,12209970.4566933,28.8319284435307
"22",0.21,12209968.8298403,30.3995638019905
"23",0.22,12209967.1145331,32.0524336141282
"24",0.23,12209965.3059623,33.7951721654995
"25",0.24,12209963.3990571,35.6326657095608
"26",0.25,12209961.3884711,37.5700661669255
"27",0.26,12209959.2685668,39.6128055693989
"28",0.27,12209957.0334007,41.7666112892771
"29",0.28,12209954.6767058,44.0375220965988
"30",0.29,12209952.1918745,46.4319050893549
"31",0.3,12209949.57194,48.9564735441109
"32",0.31,12209946.8095565,51.6183057370718
"33",0.32,12209943.896979,54.424864788343
"34",0.33,12209940.8260415,57.3840195850014
"35",0.34,12209937.5881337,60.5040668416194
"36",0.35,12209934.1741774,63.7937543600652
"37",0.36,12209930.5746007,67.2623055537674
"38",0.37,12209926.7793115,70.9194453051686
"39",0.38,12209922.7776687,74.7754272288328
"40",0.39,12209918.5584529,78.8410624166018
"41",0.4,12209914.1098346,83.1277497453524
"42",0.41,12209909.4193412,87.6475078322783
"43",0.42,12209904.4738218,92.4130087272358
"44",0.43,12209899.2594108,97.4376134365555
"45",0.44,12209893.7614886,102.735409377851
"46",0.45,12209887.9646408,108.321249870762
"47",0.46,12209881.8526148,114.210795774262
"48",0.47,12209875.4082746,120.42055938719
"49",0.48,12209868.6135526,126.967950734961
"50",0.49,12209861.4493986,133.871326372142
"51",0.5,12209853.895727,141.150040837567
"52",0.51,12209845.9313601,148.824500906123
"53",0.52,12209837.5339689,156.916222789147
"54",0.53,12209828.6800105,165.447892443631
"55",0.54,12209819.3446618,174.443429159121
"56",0.55,12209809.5017506,183.928052600361
"57",0.56,12209799.1236816,193.928353493406
"58",0.57,12209788.1813592,204.472368153116
"59",0.58,12209776.6441064,215.589657060658
"60",0.59,12209764.4795782,227.311387710994
"61",0.6,12209751.6536712,239.670421962255
"62",0.61,12209738.1304282,252.701408131461
"63",0.62,12209723.8719372,266.440878094335
"64",0.63,12209708.8382253,280.927349660928
"65",0.64,12209692.9871465,296.201434513473
"66",0.65,12209676.2742637,312.305952008473
"67",0.66,12209658.6527244,329.286049161341
"68",0.67,12209640.0731291,347.189327149184
"69",0.68,12209620.4833928,366.065974685526
"70",0.69,12209599.8285996,385.968908639889
"71",0.7,12209578.0508483,406.953922295381
"72",0.71,12209555.0890905,429.07984165873
"73",0.72,12209530.8789592,452.408690259614
"74",0.73,12209505.3525891,477.005862899818
"75",0.74,12209478.4384259,502.940308837634
"76",0.75,12209450.0610261,530.284724919216
"77",0.76,12209420.1408458,559.115759196249
"78",0.77,12209388.5940177,589.514225598467
"79",0.78,12209355.3321163,621.565330260287
"80",0.79,12209320.2619104,655.358910133206
"81",0.8,12209283.2851019,690.989684549718
"82",0.81,12209244.2980503,728.557520440473
"83",0.82,12209203.1914831,768.167711944264
"84",0.83,12209159.8501895,809.93127519034
"85",0.84,12209114.1526976,853.965259074582
"86",0.85,12209065.9709352,900.39307289536
"87",0.86,12209015.1698704,949.344831761552
"88",0.87,12208961.6071343,1000.95772073435
"89",0.88,12208905.1326225,1055.37637871621
"90",0.89,12208845.5880747,1112.7533031549
"91",0.9,12208782.8066324,1173.24927668789
"92",0.91,12208716.6123719,1237.03381691296
"93",0.92,12208646.8198123,1304.28565053434
"94",0.93,12208573.2333964,1375.19321320116
"95",0.94,12208495.6469445,1449.95517642495
"96",0.95,12208413.8430773,1528.78100303794
"97",0.96,12208327.5926084,1611.89153273172
"98",0.97,12208236.6539039,1699.51959929819
"99",0.98,12208140.7722068,1791.91068128169
"100",0.99,12208039.6789255,1889.32358784219
"101",1,12207933.090883,1992.03118172547
"102",1.01,12207820.7095265,2100.32114133738
"103",1.02,12207702.2200933,2214.49676402536
"104",1.03,12207577.290732,2334.87781278232
"105",1.04,12207445.5715766,2461.80140870565
"106",1.05,12207306.6937699,2595.62297166762
"107",1.06,12207160.2684343,2736.7172117836
"108",1.07,12207005.8855877,2885.47917440144
"109",1.08,12206843.1129997,3042.32534147861
"110",1.09,12206671.4949874,3207.69479236536
"111",1.1,12206490.5511454,3382.05042717049
"112",1.11,12206299.7750073,3565.88025605329
"113",1.12,12206098.632636,3759.69875796034
"114",1.13,12205886.5611367,3964.04831250999
"115",1.14,12205662.9670916,4179.50070892033
"116",1.15,12205427.2249084,4406.6587360794
"117",1.16,12205178.6750819,4646.15785806912
"118",1.17,12204916.6223613,4898.66797967775
