    time         X1           X2
1   0.00 12209990.0 1.000000e+01
2   0.01 12209989.4 1.054372e+01
3   0.02 12209988.8 1.111699e+01
4   0.03 12209988.2 1.172144e+01
5   0.04 12209987.6 1.235876e+01
6   0.05 12209986.9 1.303072e+01
7   0.06 12209986.1 1.373922e+01
8   0.07 12209985.3 1.448625e+01
9   0.08 12209984.5 1.527389e+01
10  0.09 12209983.7 1.610435e+01
11  0.10 12209982.8 1.697997e+01
12  0.11 12209981.8 1.790320e+01
13  0.12 12209980.8 1.887662e+01
14  0.13 12209979.7 1.990297e+01
15  0.14 12209978.6 2.098513e+01
16  0.15 12209977.4 2.212612e+01
17  0.16 12209976.2 2.332916e+01
18  0.17 12209974.9 2.459760e+01
19  0.18 12209973.5 2.593501e+01
20  0.19 12209972.0 2.734513e+01
21  0.20 12209970.5 2.883193e+01
22  0.21 12209968.8 3.039956e+01
23  0.22 12209967.1 3.205243e+01
24  0.23 12209965.3 3.379517e+01
25  0.24 12209963.4 3.563267e+01
26  0.25 12209961.4 3.757007e+01
27  0.26 12209959.3 3.961281e+01
28  0.27 12209957.0 4.176661e+01
29  0.28 12209954.7 4.403752e+01
30  0.29 12209952.2 4.643191e+01
31  0.30 12209949.6 4.895647e+01
32  0.31 12209946.8 5.161831e+01
33  0.32 12209943.9 5.442486e+01
34  0.33 12209940.8 5.738402e+01
35  0.34 12209937.6 6.050407e+01
36  0.35 12209934.2 6.379375e+01
37  0.36 12209930.6 6.726231e+01
38  0.37 12209926.8 7.091945e+01
39  0.38 12209922.8 7.477543e+01
40  0.39 12209918.6 7.884106e+01
41  0.40 12209914.1 8.312775e+01
42  0.41 12209909.4 8.764751e+01
43  0.42 12209904.5 9.241301e+01
44  0.43 12209899.3 9.743761e+01
45  0.44 12209893.8 1.027354e+02
46  0.45 12209888.0 1.083212e+02
47  0.46 12209881.9 1.142108e+02
48  0.47 12209875.4 1.204206e+02
49  0.48 12209868.6 1.269680e+02
50  0.49 12209861.4 1.338713e+02
51  0.50 12209853.9 1.411500e+02
52  0.51 12209845.9 1.488245e+02
53  0.52 12209837.5 1.569162e+02
54  0.53 12209828.7 1.654479e+02
55  0.54 12209819.3 1.744434e+02
56  0.55 12209809.5 1.839281e+02
57  0.56 12209799.1 1.939284e+02
58  0.57 12209788.2 2.044724e+02
59  0.58 12209776.6 2.155897e+02
60  0.59 12209764.5 2.273114e+02
61  0.60 12209751.7 2.396704e+02
62  0.61 12209738.1 2.527014e+02
63  0.62 12209723.9 2.664409e+02
64  0.63 12209708.8 2.809273e+02
65  0.64 12209693.0 2.962014e+02
66  0.65 12209676.3 3.123060e+02
67  0.66 12209658.7 3.292860e+02
68  0.67 12209640.1 3.471893e+02
69  0.68 12209620.5 3.660660e+02
70  0.69 12209599.8 3.859689e+02
71  0.70 12209578.1 4.069539e+02
72  0.71 12209555.1 4.290798e+02
73  0.72 12209530.9 4.524087e+02
74  0.73 12209505.4 4.770059e+02
75  0.74 12209478.4 5.029403e+02
76  0.75 12209450.1 5.302847e+02
77  0.76 12209420.1 5.591158e+02
78  0.77 12209388.6 5.895142e+02
79  0.78 12209355.3 6.215653e+02
80  0.79 12209320.3 6.553589e+02
81  0.80 12209283.3 6.909897e+02
82  0.81 12209244.3 7.285575e+02
83  0.82 12209203.2 7.681677e+02
84  0.83 12209159.9 8.099313e+02
85  0.84 12209114.2 8.539653e+02
86  0.85 12209066.0 9.003931e+02
87  0.86 12209015.2 9.493448e+02
88  0.87 12208961.6 1.000958e+03
89  0.88 12208905.1 1.055376e+03
90  0.89 12208845.6 1.112753e+03
91  0.90 12208782.8 1.173249e+03
92  0.91 12208716.6 1.237034e+03
93  0.92 12208646.8 1.304286e+03
94  0.93 12208573.2 1.375193e+03
95  0.94 12208495.6 1.449955e+03
96  0.95 12208413.8 1.528781e+03
97  0.96 12208327.6 1.611892e+03
98  0.97 12208236.7 1.699520e+03
99  0.98 12208140.8 1.791911e+03
100 0.99 12208039.7 1.889324e+03
101 1.00 12207933.1 1.992031e+03
102 1.01 12207820.7 2.100321e+03
103 1.02 12207702.2 2.214497e+03
104 1.03 12207577.3 2.334878e+03
105 1.04 12207445.6 2.461801e+03
106 1.05 12207306.7 2.595623e+03
107 1.06 12207160.3 2.736717e+03
108 1.07 12207005.9 2.885479e+03
109 1.08 12206843.1 3.042325e+03
110 1.09 12206671.5 3.207695e+03
111 1.10 12206490.6 3.382050e+03
112 1.11 12206299.8 3.565880e+03
113 1.12 12206098.6 3.759699e+03
114 1.13 12205886.6 3.964048e+03
115 1.14 12205663.0 4.179501e+03
116 1.15 12205427.2 4.406659e+03
117 1.16 12205178.7 4.646158e+03
118 1.17 12204916.6 4.898668e+03
119 1.18 12204640.3 5.164895e+03
120 1.19 12204349.0 5.445584e+03
121 1.20 12204041.9 5.741520e+03
122 1.21 12203718.1 6.053529e+03
123 1.22 12203376.7 6.382484e+03
124 1.23 12203016.8 6.729304e+03
125 1.24 12202637.3 7.094959e+03
126 1.25 12202237.2 7.480469e+03
127 1.26 12201815.4 7.886911e+03
128 1.27 12201370.7 8.315421e+03
129 1.28 12200901.9 8.767195e+03
130 1.29 12200407.6 9.243493e+03
131 1.30 12199886.4 9.745645e+03
132 1.31 12199337.0 1.027505e+04
133 1.32 12198757.8 1.083319e+04
134 1.33 12198147.1 1.142161e+04
135 1.34 12197503.3 1.204197e+04
136 1.35 12196824.5 1.269597e+04
137 1.36 12196109.0 1.338546e+04
138 1.37 12195354.6 1.411234e+04
139 1.38 12194559.3 1.487865e+04
140 1.39 12193720.9 1.568651e+04
141 1.40 12192837.0 1.653816e+04
142 1.41 12191905.2 1.743599e+04
143 1.42 12190922.9 1.838247e+04
144 1.43 12189887.4 1.938025e+04
145 1.44 12188795.8 2.043209e+04
146 1.45 12187645.0 2.154090e+04
147 1.46 12186431.9 2.270977e+04
148 1.47 12185153.1 2.394193e+04
149 1.48 12183805.0 2.524080e+04
150 1.49 12182384.0 2.660996e+04
151 1.50 12180886.1 2.805321e+04
152 1.51 12179307.2 2.957453e+04
153 1.52 12177642.9 3.117812e+04
154 1.53 12175888.6 3.286841e+04
155 1.54 12174039.4 3.465006e+04
156 1.55 12172090.3 3.652797e+04
157 1.56 12170036.0 3.850731e+04
158 1.57 12167870.7 4.059352e+04
159 1.58 12165588.5 4.279232e+04
160 1.59 12163183.2 4.510975e+04
161 1.60 12160648.2 4.755216e+04
162 1.61 12157976.4 5.012621e+04
163 1.62 12155160.8 5.283896e+04
164 1.63 12152193.4 5.569778e+04
165 1.64 12149066.3 5.871048e+04
166 1.65 12145771.0 6.188524e+04
167 1.66 12142298.5 6.523068e+04
168 1.67 12138639.3 6.875587e+04
169 1.68 12134783.7 7.247034e+04
170 1.69 12130721.1 7.638412e+04
171 1.70 12126440.6 8.050775e+04
172 1.71 12121930.7 8.485233e+04
173 1.72 12117179.3 8.942949e+04
174 1.73 12112173.7 9.425149e+04
175 1.74 12106900.4 9.933119e+04
176 1.75 12101345.5 1.046821e+05
177 1.76 12095494.2 1.103185e+05
178 1.77 12089331.0 1.162551e+05
179 1.78 12082839.6 1.225078e+05
180 1.79 12076003.0 1.290929e+05
181 1.80 12068803.2 1.360277e+05
182 1.81 12061221.4 1.433302e+05
183 1.82 12053237.8 1.510195e+05
184 1.83 12044831.8 1.591154e+05
185 1.84 12035981.8 1.676388e+05
186 1.85 12026664.8 1.766115e+05
187 1.86 12016857.2 1.860566e+05
188 1.87 12006534.0 1.959978e+05
189 1.88 11995669.0 2.064604e+05
190 1.89 11984235.0 2.174706e+05
191 1.90 11972203.3 2.290559e+05
192 1.91 11959544.1 2.412449e+05
193 1.92 11946226.0 2.540677e+05
194 1.93 11932216.6 2.675556e+05
195 1.94 11917481.7 2.817414e+05
196 1.95 11901985.7 2.966591e+05
197 1.96 11885691.6 3.123444e+05
198 1.97 11868560.7 3.288342e+05
199 1.98 11850552.8 3.461673e+05
200 1.99 11831626.0 3.643837e+05
201 2.00 11811736.7 3.835252e+05
202 2.01 11790839.7 4.036352e+05
203 2.02 11768888.0 4.247587e+05
204 2.03 11745832.7 4.469424e+05
205 2.04 11721623.4 4.702347e+05
206 2.05 11696207.8 4.946857e+05
207 2.06 11669531.6 5.203470e+05
208 2.07 11641539.0 5.472722e+05
209 2.08 11612172.2 5.755164e+05
210 2.09 11581371.9 6.051363e+05
211 2.10 11549076.8 6.361904e+05
212 2.11 11515224.0 6.687385e+05
213 2.12 11479748.9 7.028422e+05
214 2.13 11442585.6 7.385644e+05
215 2.14 11403666.4 7.759694e+05
216 2.15 11362922.3 8.151226e+05
217 2.16 11320283.2 8.560908e+05
218 2.17 11275677.7 8.989417e+05
219 2.18 11229033.4 9.437436e+05
220 2.19 11180277.2 9.905658e+05
221 2.20 11129335.5 1.039478e+06
222 2.21 11076134.3 1.090549e+06
223 2.22 11020599.2 1.143850e+06
224 2.23 10962656.4 1.199450e+06
225 2.24 10902232.4 1.257418e+06
226 2.25 10839254.4 1.317821e+06
227 2.26 10773651.0 1.380726e+06
228 2.27 10705352.2 1.446199e+06
229 2.28 10634290.1 1.514301e+06
230 2.29 10560399.2 1.585093e+06
231 2.30 10483616.9 1.658632e+06
232 2.31 10403884.0 1.734971e+06
233 2.32 10321145.2 1.814162e+06
234 2.33 10235349.8 1.896247e+06
235 2.34 10146452.1 1.981268e+06
236 2.35 10054411.9 2.069258e+06
237 2.36  9959195.4 2.160245e+06
238 2.37  9860775.3 2.254251e+06
239 2.38  9759132.1 2.351290e+06
240 2.39  9654253.9 2.451366e+06
241 2.40  9546137.5 2.554477e+06
242 2.41  9434789.0 2.660611e+06
243 2.42  9320223.7 2.769746e+06
244 2.43  9202467.4 2.881851e+06
245 2.44  9081556.3 2.996884e+06
246 2.45  8957537.6 3.114792e+06
247 2.46  8830469.9 3.235510e+06
248 2.47  8700423.3 3.358962e+06
249 2.48  8567479.7 3.485062e+06
250 2.49  8431732.8 3.613711e+06
251 2.50  8293288.3 3.744797e+06
252 2.51  8152263.8 3.878199e+06
253 2.52  8008788.4 4.013783e+06
254 2.53  7863002.7 4.151404e+06
255 2.54  7715058.2 4.290906e+06
256 2.55  7565117.1 4.432124e+06
257 2.56  7413351.3 4.574883e+06
258 2.57  7259942.0 4.718999e+06
259 2.58  7105078.9 4.864279e+06
260 2.59  6948959.1 5.010524e+06
261 2.60  6791786.4 5.157529e+06
262 2.61  6633770.2 5.305083e+06
263 2.62  6475124.0 5.452971e+06
264 2.63  6316065.0 5.600976e+06
265 2.64  6156812.1 5.748879e+06
266 2.65  5997585.4 5.896460e+06
267 2.66  5838604.4 6.043501e+06
268 2.67  5680087.2 6.189785e+06
269 2.68  5522248.9 6.335098e+06
270 2.69  5365300.9 6.479232e+06
271 2.70  5209449.5 6.621982e+06
272 2.71  5054894.6 6.763151e+06
273 2.72  4901829.4 6.902550e+06
274 2.73  4750438.7 7.039998e+06
275 2.74  4600898.8 7.175322e+06
276 2.75  4453376.2 7.308361e+06
277 2.76  4308027.3 7.438962e+06
278 2.77  4164997.7 7.566985e+06
279 2.78  4024422.0 7.692301e+06
280 2.79  3886423.2 7.814792e+06
281 2.80  3751112.9 7.934353e+06
282 2.81  3618590.6 8.050889e+06
283 2.82  3488944.4 8.164320e+06
284 2.83  3362250.4 8.274575e+06
285 2.84  3238573.3 8.381595e+06
286 2.85  3117966.6 8.485334e+06
287 2.86  3000472.8 8.585756e+06
288 2.87  2886123.6 8.682836e+06
289 2.88  2774940.7 8.776559e+06
290 2.89  2666936.1 8.866920e+06
291 2.90  2562112.6 8.953922e+06
292 2.91  2460464.2 9.037578e+06
293 2.92  2361976.9 9.117910e+06
294 2.93  2266629.2 9.194944e+06
