"","time","X1","X2"
"1",0,56319990,10
"2",0.01,56319987.1185922,12.8586694026419
"3",0.02,56319983.4134854,16.5345376369279
"4",0.03,56319978.6492116,21.2612146035202
"5",0.04,56319972.5229902,27.3390913810888
"6",0.05,56319964.6454863,35.1544306408759
"7",0.06,56319954.5160671,45.2039143019312
"8",0.07,56319941.4909866,58.1262084204539
"9",0.08,56319924.7424742,74.7425512236014
"10",0.09,56319903.2061294,96.1089435659413
"11",0.1,56319875.5132785,123.583258325042
"12",0.11,56319839.9039953,158.911533182866
"13",0.12,56319794.1152594,204.33893005214
"14",0.13,56319735.2371444,262.75241147291
"15",0.14,56319659.5279006,337.864199070673
"16",0.15,56319562.1761822,434.447669438484
"17",0.16,56319436.995316,558.640672804856
"18",0.17,56319276.0301913,718.335540554689
"19",0.18,56319069.0518056,923.680550052857
"20",0.19,56318802.9073729,1187.72468718712
"21",0.2,56318460.6847388,1527.24663509263
"22",0.21,56318020.6380806,1963.82059434103
"23",0.22,56317454.8067467,2525.18653951091
"24",0.23,56316727.2396771,3247.01177945638
"25",0.24,56315791.7129212,4175.15541593013
"26",0.25,56314588.7957864,5368.57902262121
"27",0.26,56313042.0801443,6903.08755041213
"28",0.27,56311053.3348747,8876.13659103729
"29",0.28,56308496.2801745,11413.0088491419
"30",0.29,56305208.590493,14674.7479513439
"31",0.3,56300981.6251613,18868.3465330613
"32",0.31,56295547.2461332,24259.8240675375
"33",0.32,56288560.9049929,31191.0057244521
"34",0.33,56279579.9572552,40101.0358387261
"35",0.34,56268035.8800517,51553.939164277
"36",0.35,56253198.7170925,66273.8923329144
"37",0.36,56234131.6388438,85190.3001398263
"38",0.37,56209632.9730986,109495.299345647
"39",0.38,56178162.4215191,140716.946418978
"40",0.39,56137747.4294636,180812.086672884
"41",0.4,56085864.8347202,232283.735126546
"42",0.41,56019292.0331388,298328.676512858
"43",0.42,55933921.0702052,383021.808549408
"44",0.43,55824528.4985047,491544.308010022
"45",0.44,55684493.8898507,630462.63606914
"46",0.45,55505461.1602689,808064.116946013
"47",0.46,55276940.3224211,1034751.35901305
"48",0.47,54985854.3969157,1323490.67247059
"49",0.48,54616049.1054568,1690296.76757559
"50",0.49,54147804.4197883,2154714.62154091
"51",0.5,53557420.2303799,2740226.32133306
"52",0.51,52816995.944108,3474463.33354536
"53",0.52,51894585.5555189,4389043.2157115
"54",0.53,50754978.578908,5518781.37126159
"55",0.54,49361412.939253,6899973.2984636
"56",0.55,47678528.3683244,8567440.95993179
"57",0.56,45676756.319595,10550149.9568728
"58",0.57,43338045.9477488,12865500.785285
"59",0.58,40662312.5816738,15512909.882754
"60",0.59,37673341.8041594,18467947.6142673
"61",0.6,34422338.7802722,21678840.6923594
"62",0.61,30987271.8023154,25067183.4314972
"63",0.62,27466951.5711342,28533906.6435132
"64",0.63,23970359.3919878,31969980.7057418
"65",0.64,20603478.0892484,35269591.5405411
"66",0.65,17456884.5999506,38342528.79957
"67",0.66,14597048.2852987,41122846.8921369
"68",0.67,12062831.8477912,43572311.2044008
"69",0.68,9866923.48878495,45678911.2905326
"70",0.69,8000671.93414251,47451977.8754799
"71",0.7,6440407.89834785,48915824.9665903
"72",0.71,5153656.34661215,50103513.9773509
"73",0.72,4104278.32079646,51051699.783318
"74",0.73,3256188.24021994,51796910.1965468
"75",0.74,2575706.57690532,52373196.1040296
"76",0.75,2032812.14701943,52810885.5341505
"77",0.76,1601609.62484852,53136124.1544717
"78",0.77,1260295.0455182,53370918.1550314
"79",0.78,990837.165829656,53533460.8732109
"80",0.79,778525.817492403,53638591.6203667
"81",0.8,611483.115917197,53698290.686739
"82",0.81,480192.84260037,53722155.1952103
"83",0.82,377076.02598728,53717827.8489361
"84",0.83,296123.668214983,53691367.732695
"85",0.84,232587.65686394,53647562.2468626
"86",0.85,182725.689212477,53590184.4605551
"87",0.86,143593.724061506,53522202.4716733
"88",0.87,112878.846937567,53445947.9768337
"89",0.88,88765.7095292578,53363250.9649067
"90",0.89,69830.4083175401,53275546.7306204
"91",0.9,54956.5248176033,53183960.5356951
"92",0.91,43268.9104844709,53089374.3745659
"93",0.92,34081.5888669085,52992479.5041127
"94",0.93,26856.8357396741,52893817.7020686
"95",0.94,21173.0786206193,52793813.6327759
"96",0.95,16699.7365246316,52692800.2152525
"97",0.96,13177.5106935438,52591038.4952662
"98",0.97,10402.9506593405,52488733.2068184
"99",0.98,8216.37026802983,52386044.9560595
"100",0.99,6492.38684211539,52283099.760452
"101",1,5132.51349657903,52179996.5178556
"102",1.01,4059.35811256894,52076812.8557049
"103",1.02,3212.07947476133,51973609.712643
"104",1.03,2542.82714202443,51870434.928292
"105",1.04,2013.9511918728,51767326.0567784
"106",1.05,1595.81459280811,51664312.5726357
"107",1.06,1265.07741219111,51561417.6009553
"108",1.07,1003.35056519675,51458659.2749234
"109",1.08,796.139084923722,51356051.8014264
"110",1.09,632.012303193092,51253606.2978517
"111",1.1,501.951939452948,51151331.4494938
"112",1.11,398.839733212077,51049234.0262486
"113",1.12,317.054573502801,50947319.2888919
"114",1.13,252.155584678351,50845591.3086798
"115",1.14,200.632717783499,50744053.2188743
"116",1.15,159.710380282983,50642707.4127841
"117",1.16,127.192755714016,50541555.6997619
"118",1.17,101.341907506164,50440599.4281414
"119",1.18,80.7816751132593,50339839.582162
"120",1.19,64.4218708071646,50239276.8584208
"121",1.2,51.3984619057644,50138911.726203
"122",1.21,41.0263461202767,50038744.4751114
"123",1.22,32.7620520511006,49938775.2526865
"124",1.23,26.1742656069551,49839004.0941331
"125",1.24,20.9205298891639,49739430.945821
"126",1.25,16.7288171866733,49640055.6838707
"127",1.26,13.3829477734205,49540878.1288603
"128",1.27,10.7110473296598,49441898.0574672
"129",1.28,8.57640567290834,49343115.2116872
"130",1.29,6.87023400028028,49244529.306139
"131",1.3,5.50592379147129,49146140.0338546
"132",1.31,4.41449400498378,49047947.0708699
"133",1.32,3.5409790116408,48949950.0798673
"134",1.33,2.84156161281877,48852148.7130662
"135",1.34,2.28129644348732,48754542.6145184
"136",1.35,1.83230138678034,48657131.4219308
"137",1.36,1.47232015563775,48559914.7681142
"138",1.37,1.18357936642424,48462892.2821349
"139",1.38,0.951879371510328,48366063.5902303
"140",1.39,0.765870724125842,48269428.3165371
"141",1.4,0.616478121719383,48172986.0836714
"142",1.41,0.496441567138291,48076736.5131899
"143",1.42,0.399950736662635,47980679.2259572
"144",1.43,0.322353494594286,47884813.8424383
"145",1.44,0.25992341744382,47789139.9829321
"146",1.45,0.209674301308212,47693657.2677563
"147",1.46,0.169212093245023,47598365.3173958
"148",1.47,0.13661664522922,47503263.7526206
"149",1.48,0.110347243486123,47408352.1945791
"150",1.49,0.0891671003520996,47313630.264873
"151",1.5,0.0720829765690003,47219097.5856169
"152",1.51,0.0582968815076082,47124753.7794854
"153",1.52,0.0471674187666603,47030598.4697503
"154",1.53,0.0381788378076143,46936631.2803109
"155",1.54,0.0309162448380086,46842851.835717
"156",1.55,0.0250457387252288,46749259.7611878
"157",1.56,0.0202984867105046,46655854.6826261
"158",1.57,0.0164579531174652,46562636.2266301
"159",1.58,0.0133496524458113,46469604.0205019
"160",1.59,0.0108329244177419,46376757.6922546
"161",1.6,0.00879432922590431,46284096.8706172
"162",1.61,0.00714234160246808,46191621.1850387
"163",1.62,0.00580308651360061,46099330.2656908
"164",1.63,0.00471691056342753,46007223.74347
"165",1.64,0.00383562417827395,45915301.2499986
"166",1.65,0.00312028241536299,45823562.4176259
"167",1.66,0.00253939845699085,45732006.8794282
"168",1.67,0.00206750483190939,45640634.269209
"169",1.68,0.0016839942029805,45549444.2214985
"170",1.69,0.00137218501382612,45458436.3715532
"171",1.7,0.00111856806723029,45367610.3553553
"172",1.71,0.000912198749348496,45276965.8096115
"173",1.72,0.00074420654351635,45186502.3717526
"174",1.73,0.00060739903691573,45096219.679932
"175",1.74,0.000495942085335585,45006117.3730246
"176",1.75,0.000405101383876793,44916195.0906259
"177",1.76,0.000331033569177099,44826452.4730505
"178",1.77,0.000270617291203516,44736889.161331
"179",1.78,0.000221316551661993,44647504.7972165
"180",1.79,0.000181070101138659,44558299.0231716
"181",1.8,0.000148201889949393,44469271.4823748
"182",1.81,0.000121348535835741,44380421.8187171
"183",1.82,9.94005512145688e-05,44291749.676801
"184",1.83,8.14547006559047e-05,44203254.7019385
"185",1.84,6.67753653135965e-05,44114936.5401505
"186",1.85,5.47631990000315e-05,44026794.8381648
"187",1.86,4.49296896217052e-05,43938829.2434149
"188",1.87,3.68765051580053e-05,43851039.4040388
"189",1.88,3.02787176349463e-05,43763424.9688773
"190",1.89,2.48711715610383e-05,43675985.5874728
"191",1.9,2.04374030522656e-05,43588720.9100679
"192",1.91,1.68006288142071e-05,43501630.587604
"193",1.92,1.3816415454079e-05,43414714.2717198
"194",1.93,1.13667134379734e-05,43327971.61475
"195",1.94,9.35499975207037e-06,43241402.269724
"196",1.95,7.70232168208026e-06,43155005.8903644
"197",1.96,6.3440732787522e-06,43068782.1310855
"198",1.97,5.22736779246532e-06,42982730.6469924
"199",1.98,4.30889505990866e-06,42896851.093879
"200",1.99,3.55317365963738e-06,42811143.128227
"201",2,2.93112454884915e-06,42725606.4072044
"202",2.01,2.41890660082799e-06,42640240.5886643
"203",2.02,1.99696558718006e-06,42555045.3311434
"204",2.03,1.64925718126332e-06,42470020.2938604
"205",2.04,1.3626118954784e-06,42385165.1367152
"206",2.05,1.12621582610217e-06,42300479.520287
"207",2.06,9.31185924779191e-07,42215963.1058332
"208",2.07,7.70222455926921e-07,42131615.5552881
"209",2.08,6.37324504528286e-07,42047436.5312614
"210",2.09,5.27557007156536e-07,41963425.6970368
"211",2.1,4.36859902551712e-07,41879582.7165709
"212",2.11,3.6189172744805e-07,41795907.2544918
"213",2.12,2.99901392311653e-07,41712398.9760974
"214",2.13,2.4862301999201e-07,41629057.5473545
"215",2.14,2.06189666579483e-07,41545882.6348972
"216",2.15,1.71062507441746e-07,41462873.9060259
"217",2.16,1.41972694540514e-07,41380031.0287055
"218",2.17,1.17873599766001e-07,41297353.6715644
"219",2.18,9.79015743625265e-08,41214841.503893
"220",2.19,8.13436937963703e-08,41132494.1956426
"221",2.2,6.76112346680006e-08,41050311.4174238
"222",2.21,5.62178569197666e-08,40968292.8405055
"223",2.22,4.67616499414856e-08,40886438.1368131
"224",2.23,3.89103528115027e-08,40804746.9789277
"225",2.24,3.23891830087856e-08,40723219.0400847
"226",2.25,2.69708095310185e-08,40641853.9941722
"227",2.26,2.24670895640505e-08,40560651.5157298
"228",2.27,1.87222560230262e-08,40479611.2799475
"229",2.28,1.56072991623522e-08,40398732.9626643
"230",2.29,1.30153312657119e-08,40318016.2403669
"231",2.3,1.08577610045597e-08,40237460.7901882
"232",2.31,9.06113488612009e-09,40157066.2899063
"233",2.32,7.56452851967713e-09,40076832.417943
"234",2.33,6.31739121045429e-09,39996758.8533629
"235",2.34,5.27776445971724e-09,39916845.2758716
"236",2.35,4.41080897576376e-09,39837091.3658145
"237",2.36,3.68758632996861e-09,39757496.8041761
"238",2.37,3.08405087281353e-09,39678061.2725778
"239",2.38,2.58021532373058e-09,39598784.4532776
"240",2.39,2.15945986628366e-09,39519666.029168
"241",2.4,1.80795986322987e-09,39440705.6837752
"242",2.41,1.51421165651096e-09,39361903.1012577
"243",2.42,1.26863950111298e-09,39283257.966405
"244",2.43,1.06326963513916e-09,39204769.9646367
"245",2.44,8.91459923155536e-10,39126438.7820005
"246",2.45,7.4767551769674e-10,39048264.1051715
"247",2.46,6.27302640201066e-10,38970245.6214511
"248",2.47,5.26493949576698e-10,38892383.0187651
"249",2.48,4.42040095068325e-10,38814675.985663
"250",2.49,3.7126298202283e-10,38737124.2113166
"251",2.5,3.1192704904731e-10,38659727.3855187
"252",2.51,2.621654913081e-10,38582485.1986819
"253",2.52,2.20418890718625e-10,38505397.3418374
"254",2.53,1.85384148764639e-10,38428463.5066335
"255",2.54,1.55971977587196e-10,38351683.3853349
"256",2.55,1.31271502765381e-10,38275056.670821
"257",2.56,1.10520777797622e-10,38198583.0565848
"258",2.57,9.30822144673744e-11,38122262.2367318
"259",2.58,7.84221024361011e-11,38046093.9059785
"260",2.59,6.60935315918226e-11,37970077.7596516
"261",2.6,5.5722146897335e-11,37894213.4936864
"262",2.61,4.69942618602039e-11,37818500.8046256
"263",2.62,3.96469367005224e-11,37742939.3896185
"264",2.63,3.34596936439944e-11,37667528.9464193
"265",2.64,2.82475968500681e-11,37592269.1733861
"266",2.65,2.38554702273764e-11,37517159.7694797
"267",2.66,2.01530643881634e-11,37442200.4342624
"268",2.67,1.70310155712322e-11,37367390.8678968
"269",2.68,1.43974656133033e-11,37292730.7711445
"270",2.69,1.21752338777901e-11,37218219.845365
"271",2.7,1.02994502086347e-11,37143857.7925144
"272",2.71,8.71557308732957e-12,37069644.3151446
"273",2.72,7.37772974946355e-12,36995579.1164015
"274",2.73,6.24732549099165e-12,36921661.9000241
"275",2.74,5.29187811891333e-12,36847892.3703436
"276",2.75,4.48404077079298e-12,36774270.2322817
"277",2.76,3.80078238715007e-12,36700795.1913498
"278",2.77,3.22270017333254e-12,36627466.9536475
"279",2.78,2.73344260180996e-12,36554285.2258619
"280",2.79,2.31922502213549e-12,36481249.715266
"281",2.8,1.9684228807056e-12,36408360.1297175
"282",2.81,1.67123000285399e-12,36335616.1776581
"283",2.82,1.41937143639702e-12,36263017.5681119
"284",2.83,1.20586206562106e-12,36190564.0106843
"285",2.84,1.02480363373185e-12,36118255.215561
"286",2.85,8.71214006494319e-13,36046090.8935067
"287",2.86,7.40883508928465e-13,35974070.7558641
"288",2.87,6.30254002780298e-13,35902194.5145524
"289",2.88,5.36317071971326e-13,35830461.8820667
"290",2.89,4.56528268783421e-13,35758872.5714762
"291",2.9,3.88734863876349e-13,35687426.2964238
"292",2.91,3.31114953976942e-13,35616122.7711241
