    time           X1           X2
1   0.00 5.631999e+07 1.000000e+01
2   0.01 5.631999e+07 1.285867e+01
3   0.02 5.631998e+07 1.653454e+01
4   0.03 5.631998e+07 2.126121e+01
5   0.04 5.631997e+07 2.733909e+01
6   0.05 5.631996e+07 3.515443e+01
7   0.06 5.631995e+07 4.520391e+01
8   0.07 5.631994e+07 5.812621e+01
9   0.08 5.631992e+07 7.474255e+01
10  0.09 5.631990e+07 9.610894e+01
11  0.10 5.631988e+07 1.235833e+02
12  0.11 5.631984e+07 1.589115e+02
13  0.12 5.631979e+07 2.043389e+02
14  0.13 5.631974e+07 2.627524e+02
15  0.14 5.631966e+07 3.378642e+02
16  0.15 5.631956e+07 4.344477e+02
17  0.16 5.631944e+07 5.586407e+02
18  0.17 5.631928e+07 7.183355e+02
19  0.18 5.631907e+07 9.236806e+02
20  0.19 5.631880e+07 1.187725e+03
21  0.20 5.631846e+07 1.527247e+03
22  0.21 5.631802e+07 1.963821e+03
23  0.22 5.631745e+07 2.525187e+03
24  0.23 5.631673e+07 3.247012e+03
25  0.24 5.631579e+07 4.175155e+03
26  0.25 5.631459e+07 5.368579e+03
27  0.26 5.631304e+07 6.903088e+03
28  0.27 5.631105e+07 8.876137e+03
29  0.28 5.630850e+07 1.141301e+04
30  0.29 5.630521e+07 1.467475e+04
31  0.30 5.630098e+07 1.886835e+04
32  0.31 5.629555e+07 2.425982e+04
33  0.32 5.628856e+07 3.119101e+04
34  0.33 5.627958e+07 4.010104e+04
35  0.34 5.626804e+07 5.155394e+04
36  0.35 5.625320e+07 6.627389e+04
37  0.36 5.623413e+07 8.519030e+04
38  0.37 5.620963e+07 1.094953e+05
39  0.38 5.617816e+07 1.407169e+05
40  0.39 5.613775e+07 1.808121e+05
41  0.40 5.608586e+07 2.322837e+05
42  0.41 5.601929e+07 2.983287e+05
43  0.42 5.593392e+07 3.830218e+05
44  0.43 5.582453e+07 4.915443e+05
45  0.44 5.568449e+07 6.304626e+05
46  0.45 5.550546e+07 8.080641e+05
