"","time","S","I","R"
"1",1,12210000,0,0
"2",2,12210000,0,0
"3",3,12210000,0,0
"4",4,12210000,0,0
"5",5,12210000,0,0
"6",6,12210000,0,0
"7",7,12210000,0,0
"8",8,12210000,0,0
"9",9,12210000,0,0
"10",10,12210000,0,0
"11",11,12210000,0,0
"12",12,12210000,0,0
"13",13,12210000,0,0
"14",14,12210000,0,0
"15",15,12210000,0,0
"16",16,12210000,0,0
"17",17,12210000,0,0
"18",18,12210000,0,0
"19",19,12210000,0,0
"20",20,12210000,0,0
"21",21,12210000,0,0
"22",22,12210000,0,0
"23",23,12210000,0,0
"24",24,12210000,0,0
"25",25,12210000,0,0
"26",26,12210000,0,0
"27",27,12210000,0,0
"28",28,12210000,0,0
"29",29,12210000,0,0
"30",30,12210000,0,0
"31",31,12210000,0,0
"32",32,12210000,0,0
"33",33,12210000,0,0
"34",34,12210000,0,0
"35",35,12210000,0,0
"36",36,12210000,0,0
"37",37,12210000,0,0
"38",38,12210000,0,0
"39",39,12210000,0,0
"40",40,12210000,0,0
"41",41,12210000,0,0
"42",42,12210000,0,0
"43",43,12210000,0,0
"44",44,12210000,0,0
"45",45,12210000,0,0
"46",46,12210000,0,0
"47",47,12210000,0,0
"48",48,12210000,0,0
"49",49,12210000,0,0
"50",50,12210000,0,0
"51",51,12210000,0,0
"52",52,12210000,0,0
"53",53,12210000,0,0
"54",54,12210000,0,0
"55",55,12210000,0,0
"56",56,12210000,0,0
"57",57,12210000,0,0
"58",58,12210000,0,0
"59",59,12210000,0,0
"60",60,12210000,0,0
"61",61,12210000,0,0
"62",62,12210000,0,0
"63",63,12210000,0,0
"64",64,12210000,0,0
"65",65,12210000,0,0
"66",66,12210000,0,0
"67",67,12210000,0,0
"68",68,12210000,0,0
"69",69,12210000,0,0
"70",70,12210000,0,0
"71",71,12210000,0,0
"72",72,12210000,0,0
"73",73,12210000,0,0
"74",74,12210000,0,0
"75",75,12210000,0,0
"76",76,12210000,0,0
"77",77,12210000,0,0
"78",78,12210000,0,0
"79",79,12210000,0,0
"80",80,12210000,0,0
"81",81,12210000,0,0
"82",82,12210000,0,0
"83",83,12210000,0,0
"84",84,12210000,0,0
"85",85,12210000,0,0
"86",86,12210000,0,0
"87",87,12210000,0,0
"88",88,12210000,0,0
"89",89,12210000,0,0
"90",90,12210000,0,0
