"","time","S","I","R"
"1",0,11459998,2,0
"2",0.01,11459997.9799859,2.00282489808831,0.0171892229199678
"3",0.02,11459997.9599435,2.00565378616219,0.0344027247169878
"4",0.03,11459997.9398728,2.00848666986112,0.0516405397076768
"5",0.04,11459997.9197737,2.01132355412255,0.0689026979367972
"6",0.05,11459997.8996463,2.01416444553731,0.086189239509807
"7",0.06,11459997.8794905,2.01700934953014,0.103500197436675
"8",0.07,11459997.8593061,2.01985827176842,0.120835606203751
"9",0.08,11459997.8390933,2.02271121792757,0.138195500346291
"10",0.09,11459997.8188519,2.02556819369101,0.155579914448325
"11",0.1,11459997.7985819,2.02842920475021,0.17298888314273
"12",0.11,11459997.7782833,2.03129425680467,0.190422441111298
"13",0.12,11459997.757956,2.03416335556142,0.207880623081743
"14",0.13,11459997.7376,2.03703650673668,0.225363463837634
"15",0.14,11459997.7172153,2.03991371605409,0.242870998207587
"16",0.15,11459997.6968017,2.04279498924534,0.26040326106941
"17",0.16,11459997.6763594,2.04568033205029,0.277960287350513
"18",0.17,11459997.6558881,2.04856975021692,0.295542112027637
"19",0.18,11459997.635388,2.0514632495013,0.313148770126926
"20",0.19,11459997.6148589,2.05436083566765,0.330780296723997
"21",0.2,11459997.5943008,2.05726251448832,0.348436726944006
"22",0.21,11459997.5737136,2.06016829174382,0.366118095961718
"23",0.22,11459997.5530974,2.06307817322282,0.383824439001582
"24",0.23,11459997.532452,2.06599216472217,0.401555791337799
"25",0.24,11459997.5117775,2.0689102720469,0.41931218829439
"26",0.25,11459997.4910738,2.07183250101024,0.437093665245267
"27",0.26,11459997.4703409,2.07475885743364,0.454900257614308
"28",0.27,11459997.4495787,2.07768934714677,0.47273200087542
"29",0.28,11459997.4287871,2.08062397598752,0.490588930552617
"30",0.29,11459997.4079662,2.08356274980203,0.508471082220084
"31",0.3,11459997.3871158,2.08650567444471,0.526378491502256
"32",0.31,11459997.366236,2.08945275577823,0.54431119407388
"33",0.32,11459997.3453268,2.09240399967353,0.562269225660092
"34",0.33,11459997.324388,2.09535941200986,0.580252622036487
"35",0.34,11459997.3034196,2.09831899867476,0.59826141902919
"36",0.35,11459997.2824216,2.10128276556409,0.616295652514925
"37",0.36,11459997.2613939,2.10425071858205,0.63435535842109
"38",0.37,11459997.2403366,2.10722286364115,0.652440572725829
"39",0.38,11459997.2192495,2.11019920666227,0.6705513314581
"40",0.39,11459997.1981326,2.11317975357466,0.688687670697747
"41",0.4,11459997.1769859,2.11616451031592,0.706849626575576
"42",0.41,11459997.1558093,2.11915348283206,0.725037235273424
"43",0.42,11459997.1346028,2.12214667707747,0.743250533024231
"44",0.43,11459997.1133663,2.12514409901496,0.761489556112113
"45",0.44,11459997.0920999,2.12814575461576,0.779754340872435
"46",0.45,11459997.0708034,2.13115164985953,0.79804492369188
"47",0.46,11459997.0494769,2.13416179073438,0.816361341008525
"48",0.47,11459997.0281202,2.13717618323687,0.834703629311915
"49",0.48,11459997.0067333,2.14019483337204,0.853071825143128
