    time        S        I          R
1   0.00 11459998 2.000000 0.00000000
2   0.01 11459998 2.002825 0.01718922
3   0.02 11459998 2.005654 0.03440272
4   0.03 11459998 2.008487 0.05164054
5   0.04 11459998 2.011324 0.06890270
6   0.05 11459998 2.014164 0.08618924
7   0.06 11459998 2.017009 0.10350020
8   0.07 11459998 2.019858 0.12083561
9   0.08 11459998 2.022711 0.13819550
10  0.09 11459998 2.025568 0.15557991
11  0.10 11459998 2.028429 0.17298888
12  0.11 11459998 2.031294 0.19042244
13  0.12 11459998 2.034163 0.20788062
14  0.13 11459998 2.037037 0.22536346
15  0.14 11459998 2.039914 0.24287100
16  0.15 11459998 2.042795 0.26040326
17  0.16 11459998 2.045680 0.27796029
18  0.17 11459998 2.048570 0.29554211
19  0.18 11459998 2.051463 0.31314877
20  0.19 11459998 2.054361 0.33078030
21  0.20 11459998 2.057263 0.34843673
22  0.21 11459998 2.060168 0.36611810
23  0.22 11459998 2.063078 0.38382444
24  0.23 11459998 2.065992 0.40155579
25  0.24 11459998 2.068910 0.41931219
26  0.25 11459997 2.071833 0.43709367
27  0.26 11459997 2.074759 0.45490026
28  0.27 11459997 2.077689 0.47273200
29  0.28 11459997 2.080624 0.49058893
30  0.29 11459997 2.083563 0.50847108
31  0.30 11459997 2.086506 0.52637849
32  0.31 11459997 2.089453 0.54431119
33  0.32 11459997 2.092404 0.56226923
34  0.33 11459997 2.095359 0.58025262
35  0.34 11459997 2.098319 0.59826142
36  0.35 11459997 2.101283 0.61629565
37  0.36 11459997 2.104251 0.63435536
38  0.37 11459997 2.107223 0.65244057
39  0.38 11459997 2.110199 0.67055133
40  0.39 11459997 2.113180 0.68868767
41  0.40 11459997 2.116165 0.70684963
42  0.41 11459997 2.119153 0.72503724
43  0.42 11459997 2.122147 0.74325053
44  0.43 11459997 2.125144 0.76148956
45  0.44 11459997 2.128146 0.77975434
46  0.45 11459997 2.131152 0.79804492
47  0.46 11459997 2.134162 0.81636134
48  0.47 11459997 2.137176 0.83470363
49  0.48 11459997 2.140195 0.85307183
50  0.49 11459997 2.143218 0.87146597
51  0.50 11459997 2.146245 0.88988609
52  0.51 11459997 2.149276 0.90833222
53  0.52 11459997 2.152312 0.92680442
54  0.53 11459997 2.155352 0.94530270
55  0.54 11459997 2.158396 0.96382711
56  0.55 11459997 2.161445 0.98237769
57  0.56 11459997 2.164498 1.00095446
58  0.57 11459997 2.167555 1.01955748
59  0.58 11459997 2.170617 1.03818677
60  0.59 11459997 2.173683 1.05684238
61  0.60 11459997 2.176753 1.07552433
62  0.61 11459997 2.179827 1.09423268
63  0.62 11459997 2.182906 1.11296744
64  0.63 11459997 2.185990 1.13172867
65  0.64 11459997 2.189077 1.15051640
66  0.65 11459997 2.192169 1.16933067
67  0.66 11459997 2.195265 1.18817150
68  0.67 11459997 2.198366 1.20703896
69  0.68 11459997 2.201471 1.22593306
70  0.69 11459997 2.204581 1.24485384
71  0.70 11459997 2.207695 1.26380135
72  0.71 11459997 2.210813 1.28277563
73  0.72 11459996 2.213935 1.30177670
74  0.73 11459996 2.217063 1.32080461
75  0.74 11459996 2.220194 1.33985940
76  0.75 11459996 2.223330 1.35894110
77  0.76 11459996 2.226470 1.37804976
78  0.77 11459996 2.229615 1.39718540
79  0.78 11459996 2.232764 1.41634807
80  0.79 11459996 2.235918 1.43553781
81  0.80 11459996 2.239076 1.45475465
82  0.81 11459996 2.242239 1.47399864
83  0.82 11459996 2.245406 1.49326981
84  0.83 11459996 2.248577 1.51256819
85  0.84 11459996 2.251753 1.53189384
86  0.85 11459996 2.254934 1.55124678
87  0.86 11459996 2.258119 1.57062705
88  0.87 11459996 2.261308 1.59003470
89  0.88 11459996 2.264502 1.60946976
90  0.89 11459996 2.267701 1.62893228
91  0.90 11459996 2.270904 1.64842228
92  0.91 11459996 2.274111 1.66793981
93  0.92 11459996 2.277323 1.68748491
94  0.93 11459996 2.280540 1.70705761
95  0.94 11459996 2.283761 1.72665796
96  0.95 11459996 2.286987 1.74628600
97  0.96 11459996 2.290217 1.76594175
98  0.97 11459996 2.293452 1.78562527
99  0.98 11459996 2.296691 1.80533660
100 0.99 11459996 2.299935 1.82507576
101 1.00 11459996 2.303184 1.84484281
102 1.01 11459996 2.306437 1.86463777
103 1.02 11459996 2.309694 1.88446069
104 1.03 11459996 2.312957 1.90431162
105 1.04 11459996 2.316224 1.92419058
106 1.05 11459996 2.319495 1.94409762
107 1.06 11459996 2.322771 1.96403277
108 1.07 11459996 2.326052 1.98399609
109 1.08 11459996 2.329338 2.00398760
110 1.09 11459996 2.332628 2.02400734
111 1.10 11459996 2.335922 2.04405537
112 1.11 11459996 2.339222 2.06413171
113 1.12 11459996 2.342526 2.08423641
114 1.13 11459996 2.345834 2.10436950
115 1.14 11459996 2.349148 2.12453104
116 1.15 11459996 2.352466 2.14472105
117 1.16 11459995 2.355789 2.16493957
118 1.17 11459995 2.359116 2.18518666
119 1.18 11459995 2.362448 2.20546234
120 1.19 11459995 2.365785 2.22576666
121 1.20 11459995 2.369126 2.24609966
122 1.21 11459995 2.372473 2.26646137
123 1.22 11459995 2.375824 2.28685185
124 1.23 11459995 2.379179 2.30727113
125 1.24 11459995 2.382540 2.32771925
126 1.25 11459995 2.385905 2.34819625
127 1.26 11459995 2.389275 2.36870218
128 1.27 11459995 2.392650 2.38923706
129 1.28 11459995 2.396029 2.40980096
130 1.29 11459995 2.399414 2.43039389
131 1.30 11459995 2.402803 2.45101592
132 1.31 11459995 2.406196 2.47166707
133 1.32 11459995 2.409595 2.49234739
134 1.33 11459995 2.412999 2.51305692
135 1.34 11459995 2.416407 2.53379570
136 1.35 11459995 2.419820 2.55456377
137 1.36 11459995 2.423238 2.57536118
138 1.37 11459995 2.426660 2.59618796
139 1.38 11459995 2.430088 2.61704416
140 1.39 11459995 2.433520 2.63792982
141 1.40 11459995 2.436957 2.65884498
142 1.41 11459995 2.440400 2.67978968
143 1.42 11459995 2.443846 2.70076396
144 1.43 11459995 2.447298 2.72176787
145 1.44 11459995 2.450755 2.74280144
146 1.45 11459995 2.454216 2.76386472
147 1.46 11459995 2.457683 2.78495776
148 1.47 11459995 2.461154 2.80608058
149 1.48 11459995 2.464631 2.82723324
150 1.49 11459995 2.468112 2.84841578
151 1.50 11459995 2.471598 2.86962824
152 1.51 11459995 2.475089 2.89087066
153 1.52 11459995 2.478585 2.91214308
154 1.53 11459995 2.482086 2.93344555
155 1.54 11459995 2.485591 2.95477811
156 1.55 11459995 2.489102 2.97614080
157 1.56 11459995 2.492618 2.99753366
158 1.57 11459994 2.496139 3.01895674
159 1.58 11459994 2.499664 3.04041007
160 1.59 11459994 2.503195 3.06189371
161 1.60 11459994 2.506730 3.08340770
162 1.61 11459994 2.510271 3.10495207
163 1.62 11459994 2.513817 3.12652687
164 1.63 11459994 2.517367 3.14813214
165 1.64 11459994 2.520923 3.16976793
166 1.65 11459994 2.524484 3.19143428
167 1.66 11459994 2.528049 3.21313123
168 1.67 11459994 2.531620 3.23485883
169 1.68 11459994 2.535196 3.25661712
170 1.69 11459994 2.538777 3.27840614
171 1.70 11459994 2.542363 3.30022594
172 1.71 11459994 2.545954 3.32207655
173 1.72 11459994 2.549550 3.34395803
174 1.73 11459994 2.553151 3.36587041
175 1.74 11459994 2.556757 3.38781375
176 1.75 11459994 2.560368 3.40978807
177 1.76 11459994 2.563984 3.43179344
178 1.77 11459994 2.567606 3.45382988
179 1.78 11459994 2.571233 3.47589746
180 1.79 11459994 2.574864 3.49799620
181 1.80 11459994 2.578501 3.52012615
182 1.81 11459994 2.582143 3.54228736
