    time        S        I           R
1   0.00 11459998 2.000000 0.000000000
2   0.01 11459998 2.001664 0.008828645
3   0.02 11459998 2.003330 0.017664637
4   0.03 11459998 2.004997 0.026507983
5   0.04 11459998 2.006666 0.035358686
6   0.05 11459998 2.008336 0.044216756
7   0.06 11459998 2.010007 0.053082197
8   0.07 11459998 2.011680 0.061955015
9   0.08 11459998 2.013354 0.070835218
10  0.09 11459998 2.015029 0.079722810
11  0.10 11459998 2.016706 0.088617799
12  0.11 11459998 2.018384 0.097520189
13  0.12 11459998 2.020064 0.106429988
14  0.13 11459998 2.021745 0.115347202
15  0.14 11459998 2.023427 0.124271836
16  0.15 11459998 2.025111 0.133203897
17  0.16 11459998 2.026797 0.142143391
18  0.17 11459998 2.028483 0.151090325
19  0.18 11459998 2.030171 0.160044704
20  0.19 11459998 2.031861 0.169006535
21  0.20 11459998 2.033552 0.177975823
22  0.21 11459998 2.035244 0.186952576
23  0.22 11459998 2.036938 0.195936798
24  0.23 11459998 2.038633 0.204928498
25  0.24 11459998 2.040329 0.213927680
26  0.25 11459998 2.042027 0.222934351
27  0.26 11459998 2.043727 0.231948517
28  0.27 11459998 2.045427 0.240970184
29  0.28 11459998 2.047129 0.249999360
30  0.29 11459998 2.048833 0.259036049
31  0.30 11459998 2.050538 0.268080258
32  0.31 11459998 2.052244 0.277131994
33  0.32 11459998 2.053952 0.286191262
34  0.33 11459998 2.055662 0.295258069
35  0.34 11459998 2.057372 0.304332422
36  0.35 11459998 2.059084 0.313414326
37  0.36 11459998 2.060798 0.322503787
38  0.37 11459998 2.062513 0.331600813
39  0.38 11459998 2.064229 0.340705409
40  0.39 11459998 2.065947 0.349817582
41  0.40 11459998 2.067666 0.358937338
42  0.41 11459998 2.069387 0.368064683
43  0.42 11459998 2.071109 0.377199624
44  0.43 11459998 2.072833 0.386342166
45  0.44 11459998 2.074557 0.395492317
46  0.45 11459998 2.076284 0.404650082
47  0.46 11459998 2.078012 0.413815469
48  0.47 11459997 2.079741 0.422988482
49  0.48 11459997 2.081472 0.432169129
50  0.49 11459997 2.083204 0.441357417
51  0.50 11459997 2.084937 0.450553350
52  0.51 11459997 2.086673 0.459756936
53  0.52 11459997 2.088409 0.468968181
54  0.53 11459997 2.090147 0.478187092
55  0.54 11459997 2.091886 0.487413674
56  0.55 11459997 2.093627 0.496647934
57  0.56 11459997 2.095369 0.505889879
58  0.57 11459997 2.097113 0.515139515
59  0.58 11459997 2.098858 0.524396849
60  0.59 11459997 2.100605 0.533661886
61  0.60 11459997 2.102353 0.542934633
62  0.61 11459997 2.104103 0.552215097
63  0.62 11459997 2.105854 0.561503284
64  0.63 11459997 2.107606 0.570799200
65  0.64 11459997 2.109360 0.580102853
66  0.65 11459997 2.111115 0.589414247
67  0.66 11459997 2.112872 0.598733390
68  0.67 11459997 2.114630 0.608060289
69  0.68 11459997 2.116390 0.617394949
70  0.69 11459997 2.118151 0.626737377
71  0.70 11459997 2.119914 0.636087580
72  0.71 11459997 2.121678 0.645445564
73  0.72 11459997 2.123444 0.654811335
74  0.73 11459997 2.125211 0.664184901
75  0.74 11459997 2.126979 0.673566267
76  0.75 11459997 2.128749 0.682955439
77  0.76 11459997 2.130521 0.692352426
78  0.77 11459997 2.132294 0.701757232
79  0.78 11459997 2.134068 0.711169865
80  0.79 11459997 2.135844 0.720590331
81  0.80 11459997 2.137622 0.730018636
82  0.81 11459997 2.139401 0.739454787
83  0.82 11459997 2.141181 0.748898791
84  0.83 11459997 2.142963 0.758350654
85  0.84 11459997 2.144746 0.767810383
86  0.85 11459997 2.146531 0.777277984
87  0.86 11459997 2.148317 0.786753464
88  0.87 11459997 2.150105 0.796236829
89  0.88 11459997 2.151894 0.805728085
90  0.89 11459997 2.153685 0.815227241
91  0.90 11459997 2.155477 0.824734301
92  0.91 11459997 2.157271 0.834249273
93  0.92 11459997 2.159066 0.843772163
94  0.93 11459997 2.160863 0.853302977
95  0.94 11459997 2.162661 0.862841724
96  0.95 11459997 2.164461 0.872388408
97  0.96 11459997 2.166262 0.881943036
98  0.97 11459997 2.168065 0.891505616
99  0.98 11459997 2.169869 0.901076153
100 0.99 11459997 2.171675 0.910654655
101 1.00 11459997 2.173482 0.920241128
102 1.01 11459997 2.175291 0.929835579
103 1.02 11459997 2.177101 0.939438014
104 1.03 11459997 2.178913 0.949048440
105 1.04 11459997 2.180726 0.958666863
106 1.05 11459997 2.182541 0.968293291
107 1.06 11459997 2.184357 0.977927730
108 1.07 11459997 2.186175 0.987570186
109 1.08 11459997 2.187994 0.997220666
110 1.09 11459997 2.189815 1.006879178
111 1.10 11459997 2.191637 1.016545727
112 1.11 11459997 2.193461 1.026220320
113 1.12 11459997 2.195286 1.035902965
114 1.13 11459997 2.197113 1.045593667
115 1.14 11459997 2.198942 1.055292433
116 1.15 11459997 2.200772 1.064999271
117 1.16 11459997 2.202603 1.074714186
118 1.17 11459997 2.204436 1.084437186
119 1.18 11459997 2.206271 1.094168277
120 1.19 11459997 2.208107 1.103907466
121 1.20 11459997 2.209944 1.113654760
122 1.21 11459997 2.211783 1.123410166
123 1.22 11459997 2.213624 1.133173690
124 1.23 11459997 2.215466 1.142945338
125 1.24 11459997 2.217310 1.152725119
126 1.25 11459997 2.219155 1.162513038
127 1.26 11459997 2.221001 1.172309102
128 1.27 11459997 2.222850 1.182113318
129 1.28 11459997 2.224700 1.191925694
130 1.29 11459997 2.226551 1.201746235
131 1.30 11459997 2.228404 1.211574948
132 1.31 11459997 2.230258 1.221411841
133 1.32 11459997 2.232114 1.231256919
134 1.33 11459997 2.233972 1.241110191
135 1.34 11459997 2.235831 1.250971662
136 1.35 11459997 2.237691 1.260841340
137 1.36 11459996 2.239554 1.270719231
138 1.37 11459996 2.241417 1.280605342
139 1.38 11459996 2.243283 1.290499681
140 1.39 11459996 2.245149 1.300402253
141 1.40 11459996 2.247018 1.310313066
142 1.41 11459996 2.248888 1.320232126
143 1.42 11459996 2.250759 1.330159441
144 1.43 11459996 2.252632 1.340095017
145 1.44 11459996 2.254507 1.350038862
146 1.45 11459996 2.256383 1.359990981
147 1.46 11459996 2.258261 1.369951382
148 1.47 11459996 2.260140 1.379920073
149 1.48 11459996 2.262021 1.389897058
150 1.49 11459996 2.263903 1.399882347
151 1.50 11459996 2.265787 1.409875945
152 1.51 11459996 2.267673 1.419877860
