"","time","S","I","R"
"1",0,10229998,2,0
"2",0.01,10229997.9888084,2.00237133267293,0.00882026103770512
"3",0.02,10229997.9776035,2.00474547694009,0.0176509799515151
"4",0.03,10229997.9663854,2.00712243613787,0.0264921691513733
"5",0.04,10229997.9551539,2.00950221318632,0.0353438394986621
"6",0.05,10229997.9439092,2.01188481198257,0.0442060054891057
"7",0.06,10229997.9326511,2.01427023573323,0.0530786790500037
"8",0.07,10229997.9213796,2.01665848778771,0.0619618726397127
"9",0.08,10229997.9100948,2.01904957149938,0.0708555987314216
"10",0.09,10229997.8987966,2.0214434902256,0.0797598698131063
"11",0.1,10229997.8874851,2.02384024732771,0.0886746983875496
"12",0.11,10229997.8761601,2.02623984617102,0.0976000969723579
"13",0.12,10229997.8648216,2.0286422901246,0.106536078099051
"14",0.13,10229997.8534698,2.03104758256206,0.115482654316069
"15",0.14,10229997.8421044,2.03345572686068,0.124439838185492
"16",0.15,10229997.8307256,2.03586672640174,0.133407642284296
"17",0.16,10229997.8193333,2.03828058457056,0.142386079204471
"18",0.17,10229997.8079275,2.04069730475647,0.151375161552937
"19",0.18,10229997.7965082,2.04311689035283,0.160374901951561
"20",0.19,10229997.7850753,2.04553934475701,0.169385313037177
"21",0.2,10229997.7736289,2.0479646713704,0.178406407461598
"22",0.21,10229997.7621689,2.05039287359846,0.187438197891641
"23",0.22,10229997.7506953,2.05282395485064,0.196480697009141
"24",0.23,10229997.7392082,2.05525791854047,0.205533917510967
"25",0.24,10229997.7277074,2.05769476808551,0.214597872109045
"26",0.25,10229997.7161929,2.06013450690737,0.223672573530371
"27",0.26,10229997.7046648,2.06257713843172,0.232758034517032
"28",0.27,10229997.6931231,2.06502266608831,0.241854267826221
"29",0.28,10229997.6815676,2.06747109331091,0.250961286230258
"30",0.29,10229997.6699985,2.06992242353742,0.260079102516605
"31",0.3,10229997.6584156,2.07237666020977,0.269207729487888
"32",0.31,10229997.646819,2.07483380677398,0.278347179961911
"33",0.32,10229997.6352087,2.07729386668019,0.287497466771673
"34",0.33,10229997.6235846,2.07975684338258,0.296658602765394
"35",0.34,10229997.6119467,2.08222274033945,0.305830600806521
"36",0.35,10229997.600295,2.08469156101321,0.315013473773759
"37",0.36,10229997.5886295,2.08716330887037,0.324207234561077
"38",0.37,10229997.5769501,2.08963798738152,0.333411896077735
"39",0.38,10229997.5652569,2.09211560002141,0.342627471248298
"40",0.39,10229997.5535499,2.09459615026889,0.351853973012655
"41",0.4,10229997.5418289,2.09707964160692,0.361091414326037
"42",0.41,10229997.5300941,2.09956607752261,0.370339808159037
"43",0.42,10229997.5183454,2.1020554615072,0.379599167497623
"44",0.43,10229997.5065827,2.10454779705606,0.388869505343164
"45",0.44,10229997.4948061,2.10704308766872,0.39815083471244
"46",0.45,10229997.4830155,2.10954133684884,0.407443168637668
"47",0.46,10229997.4712109,2.11204254810426,0.416746520166514
"48",0.47,10229997.4593924,2.11454672494695,0.426060902362116
"49",0.48,10229997.4475598,2.11705387089305,0.435386328303098
"50",0.49,10229997.4357132,2.1195639894629,0.444722811083593
"51",0.5,10229997.4238526,2.12207708418097,0.454070363813258
"52",0.51,10229997.4119778,2.12459315857593,0.463428999617293
"53",0.52,10229997.4000891,2.12711221618064,0.472798731636461
"54",0.53,10229997.3881862,2.12963426053214,0.482179573027103
"55",0.54,10229997.3762692,2.13215929517167,0.491571536961162
"56",0.55,10229997.364338,2.13468732364464,0.500974636626197
"57",0.56,10229997.3523928,2.13721834950071,0.510388885225402
"58",0.57,10229997.3404333,2.13975237629372,0.519814295977625
"59",0.58,10229997.3284597,2.14228940758172,0.52925088211739
"60",0.59,10229997.3164719,2.144829446927,0.538698656894909
"61",0.6,10229997.3044699,2.14737249789604,0.548157633576105
"62",0.61,10229997.2924536,2.14991856405959,0.557627825442632
"63",0.62,10229997.2804231,2.15246764899261,0.567109245791889
"64",0.63,10229997.2683783,2.1550197562743,0.576601907937041
"65",0.64,10229997.2563193,2.15757488948809,0.586105825207038
"66",0.65,10229997.2442459,2.1601330522217,0.595621010946636
"67",0.66,10229997.2321583,2.16269424806705,0.605147478516408
"68",0.67,10229997.2200563,2.16525848062037,0.614685241292774
"69",0.68,10229997.2079399,2.16782575348211,0.624234312668009
"70",0.69,10229997.1958092,2.17039607025702,0.633794706050269
"71",0.7,10229997.1836641,2.17296943455411,0.643366434863606
"72",0.71,10229997.1715046,2.17554584998668,0.652949512547989
"73",0.72,10229997.1593307,2.17812532017228,0.662543952559322
"74",0.73,10229997.1471424,2.18070784873281,0.672149768369464
"75",0.74,10229997.1349396,2.1832934392944,0.681766973466244
"76",0.75,10229997.1227223,2.18588209548752,0.691395581353486
"77",0.76,10229997.1104906,2.18847382094692,0.701035605551024
"78",0.77,10229997.0982443,2.1910686193117,0.710687059594719
"79",0.78,10229997.0859835,2.19366649422522,0.720349957036485
"80",0.79,10229997.0737082,2.19626744933519,0.7300243114443
"81",0.8,10229997.0614184,2.19887148829365,0.739710136402232
"82",0.81,10229997.0491139,2.20147861475696,0.749407445510454
"83",0.82,10229997.0367949,2.2040888323858,0.759116252385263
"84",0.83,10229997.0244613,2.20670214484523,0.7688365706591
"85",0.84,10229997.012113,2.20931855580462,0.778568413980571
"86",0.85,10229996.9997501,2.21193806893769,0.788311796014464
"87",0.86,10229996.9873726,2.21456068792255,0.798066730441766
"88",0.87,10229996.9749804,2.21718641644164,0.807833230959689
"89",0.88,10229996.9625734,2.21981525818176,0.817611311281683
"90",0.89,10229996.9501518,2.22244721683412,0.827400985137456
"91",0.9,10229996.9377154,2.22508229609427,0.837202266272997
"92",0.91,10229996.9252643,2.22772049966215,0.847015168450592
"93",0.92,10229996.9127985,2.23036183124209,0.856839705448844
"94",0.93,10229996.9003178,2.23300629454282,0.866675891062692
"95",0.94,10229996.8878224,2.23565389327745,0.876523739103432
"96",0.95,10229996.8753121,2.23830463116352,0.886383263398736
"97",0.96,10229996.862787,2.24095851192294,0.896254477792668
"98",0.97,10229996.8502471,2.24361553928206,0.906137396145709
"99",0.98,10229996.8376923,2.24627571697163,0.916032032334773
"100",0.99,10229996.8251226,2.24893904872686,0.925938400253226
"101",1,10229996.8125379,2.25160553828733,0.935856513810908
"102",1.01,10229996.7999384,2.25427518939711,0.94578638693415
"103",1.02,10229996.787324,2.25694800580467,0.955728033565795
"104",1.03,10229996.7746945,2.25962399126295,0.965681467665218
"105",1.04,10229996.7620501,2.26230314952932,0.975646703208345
"106",1.05,10229996.7493908,2.26498548436562,0.985623754187672
"107",1.06,10229996.7367164,2.26767099953814,0.995612634612284
"108",1.07,10229996.7240269,2.27035969881765,1.00561335850788
"109",1.08,10229996.7113225,2.27305158597936,1.01562593991678
"110",1.09,10229996.6986029,2.27574666480298,1.02565039289796
"111",1.1,10229996.6858683,2.27844493907271,1.03568673152707
"112",1.11,10229996.6731186,2.28114641257722,1.04573496989644
"113",1.12,10229996.6603538,2.28385108910967,1.05579512211511
"114",1.13,10229996.6475738,2.28655897246772,1.06586720230885
"115",1.14,10229996.6347787,2.28927006645355,1.07595122462017
"116",1.15,10229996.6219684,2.29198437487381,1.08604720320837
"117",1.16,10229996.609143,2.29470190153971,1.09615515224951
"118",1.17,10229996.5963023,2.29742265026695,1.10627508593648
"119",1.18,10229996.5834464,2.30014662487576,1.11640701847899
"120",1.19,10229996.5705752,2.30287382919088,1.12655096410359
"121",1.2,10229996.5576888,2.30560426704163,1.13670693705371
"122",1.21,10229996.5447871,2.30833794226183,1.14687495158966
"123",1.22,10229996.5318701,2.31107485868986,1.15705502198866
"124",1.23,10229996.5189378,2.31381502016865,1.16724716254486
"125",1.24,10229996.5059902,2.31655843054569,1.17745138756935
"126",1.25,10229996.4930272,2.31930509367302,1.18766771139021
"127",1.26,10229996.4800488,2.32205501340726,1.19789614835247
"128",1.27,10229996.4670551,2.3248081936096,1.2081367128182
"129",1.28,10229996.4540459,2.32756463814581,1.21838941916648
"130",1.29,10229996.4410214,2.33032435088622,1.22865428179346
"131",1.3,10229996.4279814,2.33308733570579,1.23893131511234
"132",1.31,10229996.4149259,2.33585359648403,1.24922053355341
"133",1.32,10229996.4018549,2.33862313710509,1.25952195156408
"134",1.33,10229996.3887685,2.3413959614577,1.26983558360888
"135",1.34,10229996.3756665,2.3441720734352,1.28016144416949
"136",1.35,10229996.362549,2.34695147693556,1.29049954774476
"137",1.36,10229996.3494159,2.34973417586137,1.30084990885074
"138",1.37,10229996.3362673,2.35252017411983,1.31121254202069
"139",1.38,10229996.3231031,2.35530947562279,1.32158746180509
"140",1.39,10229996.3099232,2.35810208428674,1.33197468277167
"141",1.4,10229996.2967278,2.36089800403278,1.34237421950545
"142",1.41,10229996.2835167,2.36369723878671,1.35278608660873
"143",1.42,10229996.2702899,2.36649979247896,1.36321029870112
"144",1.43,10229996.2570475,2.3693056690446,1.37364687041958
"145",1.44,10229996.2437893,2.37211487242339,1.3840958164184
"146",1.45,10229996.2305154,2.37492740655977,1.39455715136927
"147",1.46,10229996.2172258,2.37774327540282,1.40503088996126
"148",1.47,10229996.2039205,2.38056248290635,1.41551704690086
