    time        S        I           R
1   0.00 10229998 2.000000 0.000000000
2   0.01 10229998 2.002371 0.008820261
3   0.02 10229998 2.004745 0.017650980
4   0.03 10229998 2.007122 0.026492169
5   0.04 10229998 2.009502 0.035343839
6   0.05 10229998 2.011885 0.044206005
7   0.06 10229998 2.014270 0.053078679
8   0.07 10229998 2.016658 0.061961873
9   0.08 10229998 2.019050 0.070855599
10  0.09 10229998 2.021443 0.079759870
11  0.10 10229998 2.023840 0.088674698
12  0.11 10229998 2.026240 0.097600097
13  0.12 10229998 2.028642 0.106536078
14  0.13 10229998 2.031048 0.115482654
15  0.14 10229998 2.033456 0.124439838
16  0.15 10229998 2.035867 0.133407642
17  0.16 10229998 2.038281 0.142386079
18  0.17 10229998 2.040697 0.151375162
19  0.18 10229998 2.043117 0.160374902
20  0.19 10229998 2.045539 0.169385313
21  0.20 10229998 2.047965 0.178406407
22  0.21 10229998 2.050393 0.187438198
23  0.22 10229998 2.052824 0.196480697
24  0.23 10229998 2.055258 0.205533918
25  0.24 10229998 2.057695 0.214597872
26  0.25 10229998 2.060135 0.223672574
27  0.26 10229998 2.062577 0.232758035
28  0.27 10229998 2.065023 0.241854268
29  0.28 10229998 2.067471 0.250961286
30  0.29 10229998 2.069922 0.260079103
31  0.30 10229998 2.072377 0.269207729
32  0.31 10229998 2.074834 0.278347180
33  0.32 10229998 2.077294 0.287497467
34  0.33 10229998 2.079757 0.296658603
35  0.34 10229998 2.082223 0.305830601
36  0.35 10229998 2.084692 0.315013474
37  0.36 10229998 2.087163 0.324207235
38  0.37 10229998 2.089638 0.333411896
39  0.38 10229998 2.092116 0.342627471
40  0.39 10229998 2.094596 0.351853973
41  0.40 10229998 2.097080 0.361091414
42  0.41 10229998 2.099566 0.370339808
43  0.42 10229998 2.102055 0.379599167
44  0.43 10229998 2.104548 0.388869505
45  0.44 10229997 2.107043 0.398150835
46  0.45 10229997 2.109541 0.407443169
47  0.46 10229997 2.112043 0.416746520
48  0.47 10229997 2.114547 0.426060902
49  0.48 10229997 2.117054 0.435386328
50  0.49 10229997 2.119564 0.444722811
51  0.50 10229997 2.122077 0.454070364
52  0.51 10229997 2.124593 0.463429000
53  0.52 10229997 2.127112 0.472798732
54  0.53 10229997 2.129634 0.482179573
55  0.54 10229997 2.132159 0.491571537
56  0.55 10229997 2.134687 0.500974637
57  0.56 10229997 2.137218 0.510388885
58  0.57 10229997 2.139752 0.519814296
59  0.58 10229997 2.142289 0.529250882
60  0.59 10229997 2.144829 0.538698657
61  0.60 10229997 2.147372 0.548157634
62  0.61 10229997 2.149919 0.557627825
63  0.62 10229997 2.152468 0.567109246
64  0.63 10229997 2.155020 0.576601908
65  0.64 10229997 2.157575 0.586105825
66  0.65 10229997 2.160133 0.595621011
67  0.66 10229997 2.162694 0.605147479
68  0.67 10229997 2.165258 0.614685241
69  0.68 10229997 2.167826 0.624234313
70  0.69 10229997 2.170396 0.633794706
71  0.70 10229997 2.172969 0.643366435
72  0.71 10229997 2.175546 0.652949513
73  0.72 10229997 2.178125 0.662543953
74  0.73 10229997 2.180708 0.672149768
75  0.74 10229997 2.183293 0.681766973
76  0.75 10229997 2.185882 0.691395581
77  0.76 10229997 2.188474 0.701035606
78  0.77 10229997 2.191069 0.710687060
79  0.78 10229997 2.193666 0.720349957
80  0.79 10229997 2.196267 0.730024311
81  0.80 10229997 2.198871 0.739710136
82  0.81 10229997 2.201479 0.749407446
83  0.82 10229997 2.204089 0.759116252
84  0.83 10229997 2.206702 0.768836571
85  0.84 10229997 2.209319 0.778568414
86  0.85 10229997 2.211938 0.788311796
87  0.86 10229997 2.214561 0.798066730
88  0.87 10229997 2.217186 0.807833231
89  0.88 10229997 2.219815 0.817611311
90  0.89 10229997 2.222447 0.827400985
91  0.90 10229997 2.225082 0.837202266
92  0.91 10229997 2.227720 0.847015168
93  0.92 10229997 2.230362 0.856839705
94  0.93 10229997 2.233006 0.866675891
95  0.94 10229997 2.235654 0.876523739
96  0.95 10229997 2.238305 0.886383263
97  0.96 10229997 2.240959 0.896254478
98  0.97 10229997 2.243616 0.906137396
99  0.98 10229997 2.246276 0.916032032
100 0.99 10229997 2.248939 0.925938400
101 1.00 10229997 2.251606 0.935856514
102 1.01 10229997 2.254275 0.945786387
103 1.02 10229997 2.256948 0.955728034
104 1.03 10229997 2.259624 0.965681468
105 1.04 10229997 2.262303 0.975646703
106 1.05 10229997 2.264985 0.985623754
107 1.06 10229997 2.267671 0.995612635
108 1.07 10229997 2.270360 1.005613359
109 1.08 10229997 2.273052 1.015625940
110 1.09 10229997 2.275747 1.025650393
111 1.10 10229997 2.278445 1.035686732
112 1.11 10229997 2.281146 1.045734970
113 1.12 10229997 2.283851 1.055795122
114 1.13 10229997 2.286559 1.065867202
115 1.14 10229997 2.289270 1.075951225
116 1.15 10229997 2.291984 1.086047203
117 1.16 10229997 2.294702 1.096155152
118 1.17 10229997 2.297423 1.106275086
119 1.18 10229997 2.300147 1.116407018
120 1.19 10229997 2.302874 1.126550964
121 1.20 10229997 2.305604 1.136706937
122 1.21 10229997 2.308338 1.146874952
123 1.22 10229997 2.311075 1.157055022
124 1.23 10229997 2.313815 1.167247163
125 1.24 10229997 2.316558 1.177451388
126 1.25 10229996 2.319305 1.187667711
127 1.26 10229996 2.322055 1.197896148
128 1.27 10229996 2.324808 1.208136713
129 1.28 10229996 2.327565 1.218389419
130 1.29 10229996 2.330324 1.228654282
131 1.30 10229996 2.333087 1.238931315
132 1.31 10229996 2.335854 1.249220534
133 1.32 10229996 2.338623 1.259521952
134 1.33 10229996 2.341396 1.269835584
135 1.34 10229996 2.344172 1.280161444
136 1.35 10229996 2.346951 1.290499548
137 1.36 10229996 2.349734 1.300849909
138 1.37 10229996 2.352520 1.311212542
139 1.38 10229996 2.355309 1.321587462
140 1.39 10229996 2.358102 1.331974683
141 1.40 10229996 2.360898 1.342374220
142 1.41 10229996 2.363697 1.352786087
143 1.42 10229996 2.366500 1.363210299
144 1.43 10229996 2.369306 1.373646870
145 1.44 10229996 2.372115 1.384095816
146 1.45 10229996 2.374927 1.394557151
